"","season","head_coach","conference","record","win_perc"
"1","2025","Kayla Bryant","NACC","0-0-0",0
"2","2024","Tammy Utley","NACC","35-10-0",0.778
"3","2023","Tammy Utley","NACC","14-22-0",0.389
"4","2022","Tammy Utley","NACC","18-15-0",0.545
"5","2021","Tammy Utley","NACC","12-25-1",0.329
"6","2020","Tammy Utley","NACC","5-5-0",0.5
"7","2019","Tammy Utley","NACC","14-24-0",0.368
"8","2018","Tammy Utley","NACC","11-25-0",0.306
"9","2017","Hailey Cavanagh","NACC","16-24-0",0.4
"10","2016","Hailey Cavanagh","NACC","21-17-0",0.553
"11","2015","Hailey Cavanagh","NACC","19-21-0",0.475
"12","2014","Hailey Cavanagh","NACC","14-22-0",0.389
"13","2013","Hailey Cavanagh","NACC","13-24-0",0.351
"14","2012","Chad Buchmann","NACC","20-19-0",0.513
"15","2011","Chad Buchmann","NACC","15-26-0",0.366
"16","2010","Chad Buchmann","NACC","27-18-0",0.6
"17","2009","Chad Buchmann","NACC","30-10-0",0.75
"18","2008","Chad Buchmann","NACC","17-20-0",0.459
"19","2007","Chad Buchmann","NACC","27-12-0",0.692
"20","2006","Chad Buchmann","NACC","18-21-0",0.462
"21","2005","Chad Buchmann","Lake Michigan","10-27-0",0.27
"22","2004","","Lake Michigan","16-22-0",0.421
"23","2003","","Lake Michigan","17-21-0",0.447
"24","2002","","Lake Michigan","26-28-2",0.482
"25","2001","","-","NA-NA-0",NA
"26","1900","Stacey Remington","-","18-13-0",0.581
"27","1999","Stacey Remington","-","23-11-0",0.676
"28","1998","Stacey Remington","-","16-12-0",0.571
"29","1997","Jane Bouche","-","18-15-0",0.545
"30","1996","Jane Bouche","-","22-8-0",0.733
"31","1995","Jane Bouche","-","18-10-0",0.643
"32","1994","Jane Bouche","-","23-8-0",0.742
"33","1993","Jane Bouche","-","22-5-0",0.815
"34","1992","Jane Bouche","-","17-3-0",0.85
"35","1991","Jane Bouche","-","24-6-0",0.8
"36","1990","Jane Bouche","-","20-12-0",0.625
"37","1989","","-","NA-NA-0",NA
"38","1988","","-","NA-NA-0",NA
"39","1987","","-","NA-NA-0",NA
"40","1986","","-","NA-NA-0",NA
"41","1985","","-","NA-NA-0",NA
"42","1981","","-","NA-NA-0",NA
