"","season","head_coach","conference","record","win_perc"
"1",2024,"Jackie Huff","Conference Carolinas","2-7-0",0.222
"2",2024,"Jackie Huff","Conference Carolinas","2-7-0",0.222
"3",2023,"Jackie Huff","Conference Carolinas","15-33-0",0.312
"4",2022,"Jackie Huff","Conference Carolinas","1-47-0",0.021
"5",2021,"Jen George","Conference Carolinas","5-35-0",0.125
"6",2020,"Jen George","Conference Carolinas","3-17-0",0.15
"7",2019,"Jen George","Conference Carolinas","6-44-0",0.12
"8",2018,"Jen George","Conference Carolinas","3-49-0",0.058
"9",2017,"Christy Johnson","Conference Carolinas","5-33-0",0.132
"10",2016,"Christy Johnson","Conference Carolinas","7-33-0",0.175
