"","season","head_coach","conference","record","win_perc"
"1","2024","Meadow McWhorter","Big Sky","1-4-0",0.2
"2","2023","Meadow McWhorter","Big Sky","18-27-0",0.4
"3","2022","Meadow McWhorter","Big Sky","28-18-0",0.609
"4","2021","Meadow McWhorter","Big Sky","15-26-0",0.366
"5","2020","Meadow McWhorter","Big Sky","6-17-0",0.261
"6","2019","Meadow McWhorter","Big Sky","20-31-0",0.392
"7","2018","Meadow McWhorter","Big Sky","18-34-0",0.346
"8","2017","Meadow McWhorter","Big Sky","9-36-0",0.2
"9","2016","Barb Sherwood","Big Sky","14-35-0",0.286
"10","2015","Barb Sherwood","Big Sky","16-35-0",0.314
"11","2014","Barb Sherwood","Big Sky","8-36-0",0.182
"12","2013","Tobin Echo-Hawk","Big Sky","25-31-0",0.446
"13","2012","Tobin Echo-Hawk","Pacific Coast Softball","28-25-0",0.528
"14","2011","Tobin Echo-Hawk","Pacific Coast Softball","34-18-0",0.654
"15","2010","Tobin Echo-Hawk","Pacific Coast Softball","30-27-0",0.526
"16","2009","Tobin Echo-Hawk","Pacific Coast Softball","29-26-0",0.527
"17","2008","Amy Hayes","Pacific Coast Softball","31-27-0",0.534
"18","2007","Amy Hayes","Pacific Coast Softball","23-34-0",0.404
"19","2006","Amy Hayes","Pacific Coast Softball","38-20-0",0.655
"20","2005","Teri Mariani","Pacific Coast Softball","17-28-0",0.378
"21","2004","Teri Mariani","Pacific Coast Softball","19-36-0",0.345
"22","2003","Teri Mariani","WAC","19-29-0",0.396
"23","2002","Teri Mariani","WAC","22-35-0",0.386
"24","2001","Teri Mariani","WAC","25-36-0",0.41
"25","2000","Teri Mariani","-","22-34-0",0.393
"26","1999","Teri Mariani","-","12-37-0",0.245
"27","1998","Teri Mariani","-","30-23-0",0.566
"28","1997","Teri Mariani","-","37-16-0",0.698
"29","1996","Teri Mariani","-","42-20-0",0.677
"30","1995","Teri Mariani","-","19-8-0",0.704
"31","1994","Teri Mariani","-","26-22-0",0.542
"32","1993","Teri Mariani","-","23-11-0",0.676
"33","1992","Teri Mariani","-","40-14-0",0.741
"34","1991","Teri Mariani","-","43-9-0",0.827
"35","1990","Teri Mariani","-","41-14-0",0.745
"36","1989","Teri Mariani","-","25-22-0",0.532
"37","1988","Teri Mariani","-","17-27-0",0.386
"38","1987","Teri Mariani","-","16-22-0",0.421
"39","1986","Teri Mariani","-","15-18-0",0.455
"40","1985","Teri Mariani","-","20-16-0",0.556
"41","1984","Teri Mariani","-","24-21-0",0.533
"42","1983","Teri Mariani","-","14-7-0",0.667
"43","1982","Teri Mariani","-","24-17-0",0.585
"44","1981","Teri Mariani","-","23-12-0",0.657
"45","1980","Teri Mariani","-","20-19-0",0.513
"46","1979","Teri Mariani","-","12-11-0",0.522
"47","1978","Teri Mariani","-","9-9-0",0.5
"48","1977","Teri Mariani","-","7-8-0",0.467
