"","X","season","head_coach","conference","record","win_perc"
"1",40,2024,"Emlyn Knerem","G-MAC","0-0-0",NA
"2",0,2024,"Emlyn Knerem","G-MAC","2-1-0",0.666666666666667
"3",1,2023,"Emlyn Knerem","G-MAC","21-29-0",0.42
"4",2,2022,"Emlyn Knerem","G-MAC","12-23-0",0.343
"5",3,2021,"Emlyn Knerem","GLIAC","13-29-0",0.31
"6",4,2020,"Emlyn Knerem","GLIAC","6-7-0",0.462
"7",5,2019,"Emlyn Knerem","GLIAC","34-23-0",0.596
"8",6,2018,"Emlyn Knerem","GLIAC","23-25-0",0.479
"9",7,2017,"Sheilah Gulas","GLIAC","30-23-0",0.566
"10",8,2016,"Sheilah Gulas","GLIAC","29-23-1",0.558
"11",9,2015,"Sheilah Gulas","GLIAC","39-10-0",0.796
"12",10,2014,"Sheilah Gulas","GLIAC","27-20-0",0.574
"13",11,2013,"Sheilah Gulas","GLIAC","29-20-0",0.592
"14",12,2012,"Sheilah Gulas","GLIAC","42-17-0",0.712
"15",13,2011,"Sheilah Gulas","GLIAC","33-19-0",0.635
"16",14,2010,"Sheilah Gulas","GLIAC","36-13-0",0.735
"17",15,2009,"Sheilah Gulas","GLIAC","36-14-0",0.72
"18",16,2008,"Sheilah Gulas","GLIAC","29-17-0",0.63
"19",17,2007,"Sheilah Gulas","GLIAC","29-20-0",0.592
"20",18,2006,"Sheilah Gulas","GLIAC","35-21-0",0.625
"21",19,2005,"Sheilah Gulas","GLIAC","27-23-0",0.54
"22",20,2004,"Sheilah Gulas","GLIAC","27-17-0",0.614
"23",21,2003,"Sheilah Gulas","GLIAC","40-18-0",0.69
"24",22,2002,"Sheilah Gulas","-","28-16-0",0.636
"25",23,2001,"Sheilah Gulas","-","39-20-0",0.661
"26",24,2000,"Sheilah Gulas","-","29-16-0",0.644
"27",25,1999,"Sheilah Gulas","-","45-15-0",0.75
"28",26,1998,"Sheilah Gulas","-","53-6-0",0.898
"29",27,1997,"Sheilah Gulas","-","41-17-0",0.707
"30",28,1996,"Karen Linder","-","31-14-0",0.689
"31",29,1995,"Karen Linder","-","31-13-0",0.705
"32",30,1994,"Karen Linder","-","31-16-0",0.66
"33",31,1993,"Karen Linder","-","31-12-0",0.721
"34",32,1992,"Karen Linder","-","17-14-0",0.548
"35",33,1991,"Karen Linder","-","19-20-0",0.487
"36",34,1990,"Karen Linder","-","25-15-1",0.625
"37",35,1989,"Karen Linder","-","15-29-0",0.341
"38",36,1988,"Karen Linder","-","23-25-0",0.479
"39",37,1987,"Karen Linder","-","16-24-0",0.4
"40",38,1986,"Karen Linder","-","14-18-0",0.438
"41",39,1985,"","-","0-0-0",NA
