"","season","head_coach","conference","record","win_perc"
"1",2023,"Jason Anderson","GAC","45-15-0",0.75
"2",2022,"Jason Anderson","GAC","37-18-0",0.673
"3",2021,"Jason Anderson","GAC","29-10-0",0.744
"4",2020,"Jason Anderson","GAC","22-2-0",0.917
"5",2019,"Jason Anderson","GAC","46-13-0",0.78
"6",2018,"Jason Anderson","GAC","60-11-0",0.845
"7",2017,"Jason Anderson","GAC","46-18-0",0.719
"8",2016,"Jason Anderson","GAC","53-11-0",0.828
"9",2015,"Jason Anderson","GAC","26-24-0",0.52
"10",2014,"Corey Lyon","GAC","37-26-0",0.587
"11",2013,"Corey Lyon","GAC","27-30-0",0.474
"12",2012,"Corey Lyon","GAC","26-33-0",0.441
"13",2011,"Kevin Allison","Gulf South","14-39-0",0.264
"14",2010,"Kevin Allison","Gulf South","10-33-0",0.233
"15",2009,"Kevin Allison","Gulf South","9-36-0",0.2
"16",2008,"Kevin Allison","Gulf South","10-31-0",0.244
"17",2007,"Jamie Grodecki","Gulf South","27-27-0",0.5
"18",2006,"Jamie Grodecki","Gulf South","26-31-0",0.456
"19",2005,"Jennifer Pagani","Gulf South","30-26-0",0.536
"20",2004,"Jennifer Pagani","Gulf South","26-19-0",0.578
"21",2003,"Kevin Blaskowski","-","31-19-0",0.62
"22",2002,"Kevin Blaskowski","Gulf South","21-36-0",0.368
"23",2001,"Kevin Blaskowski","-","28-21-0",0.571
"24",2000,"Kevin Blaskowski","-","34-25-0",0.576
"25",1999,"Kevin Blaskowski","-","22-25-0",0.468
"26",2024,"Jason Anderson","GAC","25-14-0",0.641
