"","X","season","head_coach","conference","record","win_perc"
"1",35,2024,"Aisha Sueda","PacWest","0-0-0",NA
"2",0,2024,"Aisha Sueda","PacWest","5-1-0",0.833333333333333
"3",1,2023,"Aisha Sueda","PacWest","16-25-0",0.39
"4",2,2022,"Aisha Sueda","PacWest","17-20-0",0.459
"5",3,2021,"Callen Perreira","PacWest","19-13-0",0.594
"6",4,2020,"Callen Perreira","PacWest","11-10-0",0.524
"7",5,2019,"Callen Perreira","PacWest","31-17-0",0.646
"8",6,2018,"Callen Perreira","PacWest","31-15-0",0.674
"9",7,2017,"Callen Perreira","PacWest","27-22-0",0.551
"10",8,2016,"Peejay Brun","PacWest","32-17-0",0.653
"11",9,2015,"Peejay Brun","PacWest","31-16-1",0.66
"12",10,2014,"Jaime Wallin","PacWest","22-20-0",0.524
"13",11,2013,"Jaime Wallin","PacWest","39-19-0",0.672
"14",12,2012,"Jaime Wallin","PacWest","24-20-0",0.545
"15",13,2011,"Jaime Wallin","PacWest","28-14-0",0.667
"16",14,2010,"Gwen Kagaoan","PacWest","35-16-0",0.686
"17",15,2009,"Callen Perreira","PacWest","26-22-0",0.542
"18",16,2008,"Callen Perreira","PacWest","9-17-1",0.346
"19",17,2007,"Callen Perreira","PacWest","42-13-0",0.764
"20",18,2006,"Callen Perreira","PacWest","24-20-0",0.545
"21",19,2005,"Callen Perreira","PacWest","31-11-0",0.738
"22",20,2004,"Callen Perreira","PacWest","25-17-0",0.595
"23",21,2003,"Callen Perreira","-","28-19-0",0.596
"24",22,2002,"Callen Perreira","-","38-19-0",0.667
"25",23,2001,"Callen Perreira","-","28-18-0",0.609
"26",24,2000,"Callen Perreira","-","23-21-0",0.523
"27",25,1999,"Callen Perreira","-","32-19-0",0.627
"28",26,1998,"Callen Perreira","-","39-15-0",0.722
"29",27,1997,"Callen Perreira","-","34-23-1",0.596
"30",28,1996,"Callen Perreira","-","34-22-0",0.607
"31",29,1995,"Callen Perreira","-","24-18-1",0.571
"32",30,1994,"Callen Perreira","-","25-20-0",0.556
"33",31,1993,"Callen Perreira","-","28-16-0",0.636
"34",32,1992,"Callen Perreira","-","34-11-0",0.756
"35",33,1991,"Callen Perreira","-","39-9-0",0.812
"36",34,1990,"Callen Perreira","-","13-15-0",0.464
