"","X","season","head_coach","conference","record","win_perc"
"1",31,2024,"David Morton","SIAC","0-0-0",NA
"2",0,2024,"David Morton","SIAC","3-5-0",0.375
"3",1,2023,"David Morton","SIAC","14-27-0",0.341
"4",2,2022,"David Morton","SIAC","15-23-0",0.395
"5",3,2021,"David Morton","SIAC","0-12-0",0
"6",4,2020,"David Morton","SIAC","4-10-0",0.286
"7",5,2019,"David Morton","SIAC","23-25-0",0.479
"8",6,2018,"David Morton","SIAC","12-20-0",0.375
"9",7,2017,"Oscar Downs","SIAC","16-21-0",0.432
"10",8,2016,"Oscar Downs","SIAC","15-23-0",0.395
"11",9,2015,"Oscar Downs","SIAC","21-16-0",0.568
"12",10,2014,"Oscar Downs","SIAC","16-25-0",0.39
"13",11,2013,"Oscar Downs","SIAC","21-25-0",0.457
"14",12,2012,"Oscar Downs","SIAC","28-18-0",0.609
"15",13,2011,"Oscar Downs","SIAC","17-17-0",0.5
"16",14,2010,"Oscar Downs","SIAC","18-22-0",0.45
"17",15,2009,"Oscar Downs","SIAC","22-18-0",0.55
"18",16,2008,"Oscar Downs","SIAC","17-16-1",0.515
"19",17,2007,"Oscar Downs","SIAC","15-16-0",0.484
"20",18,2006,"Oscar Downs","SIAC","25-9-0",0.735
"21",19,2005,"Oscar Downs","SIAC","23-7-1",0.767
"22",20,2004,"Oscar Downs","SIAC","27-8-0",0.771
"23",21,2003,"Oscar Downs","SIAC","24-11-0",0.686
"24",22,2002,"Oscar Downs","-","23-7-0",0.767
"25",23,2001,"Oscar Downs","-","22-6-0",0.786
"26",24,2000,"Oscar Downs","-","25-4-0",0.862
"27",25,1999,"Oscar Downs","-","24-8-0",0.75
"28",26,1998,"Oscar Downs","-","7-17-0",0.292
"29",27,1997,"Oscar Downs","-","15-8-0",0.652
"30",28,1996,"Oscar Downs","-","11-11-0",0.5
"31",29,1991,"","-","0-0-0",NA
"32",30,1987,"","-","0-0-0",NA
