"","season","head_coach","conference","record","win_perc"
"1","2025","Melissa Mapes","Skyline","0-0-0",0
"2","2024","Matthew Kaldon","Skyline","0-30-0",0
"3","2023","Matthew Kaldon","Skyline","2-29-0",0.065
"4","2022","Jillian Serraro","Skyline","0-25-0",0
"5","2021","Danielle DeStaso","Skyline","0-2-0",0
"6","2020","Danielle DeStaso","Skyline","NA-NA-0",0
"7","2019","Danielle DeStaso","Skyline","4-26-0",0.133
"8","2018","Danielle DeStaso","Skyline","2-27-0",0.069
"9","2017","Steve Schucker","Skyline","3-21-0",0.125
"10","2016","Steve Schucker","Skyline","7-22-0",0.241
"11","2015","Steve Schucker","-","6-18-0",0.25
"12","2014","","-","2-7-0",0.222
