"","season","head_coach","conference","record","win_perc"
"1",2024,"Kara LeLeux","CCS","0-4-0",0
"2",2023,"Kara LeLeux","CCS","16-20-0",0.444
"3",2022,"Kara LeLeux","USA South","20-17-0",0.541
"4",2021,"Jenny Rohn","USA South","18-18-0",0.5
"5",2020,"Brie Carmack","USA South","2-10-0",0.167
"6",2019,"Brie Carmack","USA South","11-24-0",0.314
"7",2018,"Christine Core","USA South","23-20-0",0.535
"8",2017,"Christine Core","USA South","22-17-0",0.564
"9",2016,"Sara Russell","USA South","18-21-1",0.462
"10",2015,"Sara Russell","USA South","11-21-0",0.344
"11",2014,"Sara Russell","USA South","11-27-0",0.289
"12",2013,"Sara Russell","Great South","6-30-0",0.167
"13",2012,"Sara Russell","Great South","21-20-0",0.512
"14",2011,"Sara Russell","-","22-14-0",0.611
"15",2010,"Sara Russell","-","13-31-0",0.295
"16",2009,"Sara Russell","-","18-19-0",0.486
"17",2008,"Sara Russell","-","12-27-0",0.308
"18",2007,"Lisa Rodgers","-","11-27-0",0.289
