"","team_name","team_id","division"
"1","AUM","30093","D-II"
"2","Academy of Art","30123","D-II"
"3","Adams St.","929","D-II"
"4","Adelphi","3","D-II"
"5","Alabama Huntsville","10","D-II"
"6","Albany St. (GA)","13","D-II"
"7","Alderson Broaddus","934","D-II"
"8","Allen","30240","D-II"
"9","American Int'l","22","D-II"
"10","Anderson (SC)","13028","D-II"
"11","Angelo St.","25","D-II"
"12","Ark.-Monticello","8411","D-II"
"13","Arkansas Tech","947","D-II"
"14","Ashland","35","D-II"
"15","Assumption","36","D-II"
"16","Augusta","39","D-II"
"17","Augustana (SD)","41","D-II"
"18","Azusa Pacific","30146","D-II"
"19","Barry","49","D-II"
"20","Barton","15646","D-II"
"21","Belmont Abbey","2683","D-II"
"22","Bemidji St.","54","D-II"
"23","Benedict","55","D-II"
"24","Bentley","56","D-II"
"25","Biola","30220","D-II"
"26","Black Hills St.","30134","D-II"
"27","Bloomfield","984","D-II"
"28","Bloomsburg","65","D-II"
"29","Bluefield St.","985","D-II"
"30","Bowie St.","70","D-II"
"31","Bridgeport","74","D-II"
"32","CSU Pueblo","2720","D-II"
"33","CSUSB","93","D-II"
"34","CUI","30199","D-II"
"35","Cal Poly Humboldt","291","D-II"
"36","Cal St. Dom. Hills","92","D-II"
"37","Cal St. East Bay","98","D-II"
"38","Cal St. Monterey Bay","30055","D-II"
"39","Cal St. San Marcos","30198","D-II"
"40","Caldwell","995","D-II"
"41","California (PA)","106","D-II"
"42","Cameron","996","D-II"
"43","Carson-Newman","1000","D-II"
"44","Catawba","1001","D-II"
"45","Cedarville","30124","D-II"
"46","Central Mo.","130","D-II"
"47","Central Okla.","1009","D-II"
"48","Central Wash.","1010","D-II"
"49","Chadron St.","1012","D-II"
"50","Chaminade","133","D-II"
"51","Charleston (WV)","1013","D-II"
"52","Chestnut Hill","21323","D-II"
"53","Chico St.","95","D-II"
"54","Chowan","8875","D-II"
"55","Christian Brothers","1015","D-II"
"56","Claflin","30058","D-II"
"57","Clarion","143","D-II"
"58","Clark Atlanta","144","D-II"
"59","Coker","1023","D-II"
"60","Colo. Christian","11403","D-II"
"61","Colo. Sch. of Mines","155","D-II"
"62","Colorado Mesa","11416","D-II"
"63","Columbus St.","159","D-II"
"64","Concord","1028","D-II"
"65","Concordia-St. Paul","9081","D-II"
"66","Converse","8935","D-II"
"67","D'Youville","1059","D-II"
"68","Davenport","30221","D-II"
"69","Davis & Elkins","174","D-II"
"70","Delta St.","181","D-II"
"71","Dominican (CA)","30118","D-II"
"72","Dominican (NY)","8956","D-II"
