"","team_name","team_id","division"
"1","A&M-Corpus Christi",26172,"D-I"
"2","Abilene Christian",2,"D-I"
"3","Akron",5,"D-I"
"4","Alabama",8,"D-I"
"5","Alabama A&M",6,"D-I"
"6","Alabama St.",7,"D-I"
"7","Alcorn",17,"D-I"
"8","App State",27,"D-I"
"9","Arizona",29,"D-I"
"10","Arizona St.",28,"D-I"
"11","Ark.-Pine Bluff",2678,"D-I"
"12","Arkansas",31,"D-I"
"13","Arkansas St.",30,"D-I"
"14","Army West Point",725,"D-I"
"15","Auburn",37,"D-I"
"16","Austin Peay",43,"D-I"
"17","BYU",77,"D-I"
"18","Ball St.",47,"D-I"
"19","Baylor",51,"D-I"
"20","Bellarmine",52,"D-I"
"21","Belmont",14927,"D-I"
"22","Bethune-Cookman",61,"D-I"
"23","Binghamton",62,"D-I"
"24","Boise St.",66,"D-I"
"25","Boston College",67,"D-I"
"26","Boston U.",68,"D-I"
"27","Bowling Green",71,"D-I"
"28","Bradley",72,"D-I"
"29","Brown",80,"D-I"
"30","Bryant",81,"D-I"
"31","Bucknell",83,"D-I"
"32","Buffalo",86,"D-I"
"33","Butler",87,"D-I"
"34","CSU Bakersfield",94,"D-I"
"35","CSUN",101,"D-I"
"36","Cal Poly",90,"D-I"
"37","Cal Poly Pomona",91,"D-I"
"38","Cal St. Fullerton",97,"D-I"
"39","California",107,"D-I"
"40","California Baptist",30135,"D-I"
"41","Campbell",115,"D-I"
"42","Canisius",116,"D-I"
"43","Central Ark.",1004,"D-I"
"44","Central Conn. St.",127,"D-I"
"45","Central Mich.",129,"D-I"
"46","Charleston So.",48,"D-I"
"47","Charlotte",458,"D-I"
"48","Chattanooga",693,"D-I"
"49","Chicago St.",136,"D-I"
"50","Cincinnati",140,"D-I"
"51","Clemson",147,"D-I"
"52","Cleveland St.",148,"D-I"
"53","Coastal Carolina",149,"D-I"
"54","Col. of Charleston",1014,"D-I"
"55","Colgate",153,"D-I"
"56","Colorado St.",156,"D-I"
"57","Columbia",158,"D-I"
"58","Coppin St.",165,"D-I"
"59","Cornell",167,"D-I"
"60","Creighton",169,"D-I"
"61","Dartmouth",172,"D-I"
"62","Dayton",175,"D-I"
"63","DePaul",176,"D-I"
"64","Delaware",180,"D-I"
"65","Delaware St.",178,"D-I"
"66","Detroit Mercy",184,"D-I"
"67","Drake",189,"D-I"
"68","Drexel",191,"D-I"
"69","Duke",193,"D-I"
"70","Duquesne",194,"D-I"
"71","ETSU",198,"D-I"
"72","East Carolina",196,"D-I"
"73","Eastern Ill.",201,"D-I"
"74","Eastern Ky.",202,"D-I"
"75","Eastern Mich.",204,"D-I"
"76","Elon",1068,"D-I"
"77","Evansville",219,"D-I"
"78","FDU",222,"D-I"
"79","FGCU",28755,"D-I"
"80","FIU",231,"D-I"
"81","Fairfield",220,"D-I"
"82","Fla. Atlantic",229,"D-I"
"83","Florida",235,"D-I"
"84","Florida A&M",228,"D-I"
"85","Florida St.",234,"D-I"
"86","Fordham",236,"D-I"
"87","Fresno St.",96,"D-I"
"88","Furman",244,"D-I"
"89","Ga. Southern",253,"D-I"
"90","Gardner-Webb",1092,"D-I"
"91","George Mason",248,"D-I"
"92","George Washington",249,"D-I"
"93","Georgetown",251,"D-I"
"94","Georgia",257,"D-I"
"95","Georgia St.",254,"D-I"
"96","Georgia Tech",255,"D-I"
"97","Grambling",261,"D-I"
"98","Grand Canyon",1104,"D-I"
"99","Green Bay",794,"D-I"
"100","Hampton",270,"D-I"
"101","Hartford",272,"D-I"
"102","Harvard",275,"D-I"
"103","Hawaii",277,"D-I"
"104","Hofstra",283,"D-I"
"105","Holy Cross",285,"D-I"
"106","Houston",288,"D-I"
"107","Houston Christian",287,"D-I"
