"","player_id","rank","player","sb","seasons"
"1",16513,1,"Jaquelyn Ramon",184,"2016-2019"
"2",5863,2,"Cortni Emanuel",171,"2015-2018"
"3",4524,3,"Elicia D'orazio",165,"2015-2018"
"4",15408,4,"Madisyn Palmer",164,"2016-2019"
"5",13863,5,"Keeli Milligan",163,"2016-2019"
"6",518,6,"Aliyah Andrews",145,"2017-2021"
"7",2337,7.5,"Eliisa Brown",134,"2017-2021"
"8",21415,7.5,"Lexi Watts",134,"2016-2019"
"9",17627,9,"Sam Russ",132,"2018-2022"
"10",1607,10,"Precious Birdsong",131,"2015-2018"
"11",12077,11.5,"Emily Lochten",129,"2015-2018"
"12",16428,11.5,"Sabrina Rabin",129,"2015-2018"
"13",18351,13,"Chelie Senini",128,"2020-2023"
"14",22420,14,"Damali Young",127,"2016-2019"
"15",10969,15,"Morgan Klaevemann",125,"2015-2018"
"16",8559,16.5,"Cali Harrod",123,"2016-2019"
"17",16285,16.5,"Sarah Price",123,"2019-2023"
"18",21812,18,"Jenna Wildeman",122,"2020-2023"
"19",17555,19,"Meghan Rud",119,"2015-2018"
"20",5017,20,"Kindall Deramus",117,"2020-2023"
"21",22544,21,"Morgan Zerkle",114,"2015-2017"
"22",13872,22,"Kiki Milloy",113,"2020-2023"
"23",7374,25,"Ansley Gilstrap",112,"2016-2021"
"24",10274,25,"Macy Johnson",112,"2018-2022"
"25",13350,25,"Sydney Mckay",112,"2016-2019"
"26",19986,25,"Jessie Tenbroeck",112,"2015-2017"
"27",22035,25,"Mckenzie Wilson",112,"2019-2023"
"28",2333,29,"Destini Brown",110,"2018-2022"
"29",7182,29,"Leanna Gearhart",110,"2015-2018"
"30",15453,29,"Kara Paradowski",110,"2018-2021"
"31",21205,31,"Skylar Wallace",109,"2019-2023"
"32",22457,32.5,"Nicole Yozzo",108,"2015-2018"
"33",22554,32.5,"Lauren Zick",108,"2015-2018"
"34",4927,34.5,"Megan Delgadillo",107,"2020-2023"
"35",6584,34.5,"Jenna Foreman",107,"2016-2019"
"36",8372,36.5,"Alicia Hansen",104,"2015-2019"
"37",11909,36.5,"Rachel Lewis",104,"2018-2022"
"38",5149,39.5,"Lexi Diemmanuele",103,"2016-2019"
"39",7625,39.5,"Cameron Goodman",103,"2020-2023"
"40",12437,39.5,"Alexis Mack",103,"2016-2021"
"41",14480,39.5,"Leah Murray",103,"2016-2019"
"42",4385,42,"Kayla Crutchmer",102,"2017-2020"
"43",4203,45,"Elantra Cox",101,"2015-2018"
"44",12903,45,"Aeriyl Mass",101,"2018-2022"
"45",18710,45,"Leslie Sims",101,"2017-2021"
"46",21625,45,"Karley Wester",101,"2015-2017"
"47",21936,45,"Shelby Williams",101,"2016-2019"
"48",4988,48.5,"Haley Denning",100,"2020-2023"
"49",10178,48.5,"Alexis Johns",100,"2019-2022"
"50",2434,50.5,"Anamarie Bruni",99,"2017-2021"
"51",8302,50.5,"Jazzmaine Hammond",99,"2018-2022"
"52",3636,52,"Paige Clark",97,"2018-2022"
"53",13089,53.5,"Macy Mccall",96,"2019-2023"
"54",17411,53.5,"Lindsay Rood",96,"2016-2019"
"55",9631,55.5,"Kelsey Huff",95,"2015-2018"
"56",10571,55.5,"Kelly Kapp",95,"2015-2017"
"57",15887,57,"Jonnie Petree",94,"2016-2019"
"58",6865,60,"Taylor Gadbois",93,"2015-2016"
"59",13122,60,"Justyce Mcclain",93,"2016-2019"
"60",14765,60,"Kinsey Nichols",93,"2015-2018"
"61",17123,60,"Rochelle Roberts",93,"2015-2018"
"62",20123,60,"Hannah Thomason",93,"2016-2021"
"63",3947,65.5,"Moriah Connolly",92,"2015-2017"
"64",5573,65.5,"Taylor Dupree",92,"2015-2018"
"65",5900,65.5,"Allie Englant",92,"2018-2022"
"66",6572,65.5,"Taty Forbes",92,"2016-2021"
"67",10088,65.5,"Gabbi Jenkins",92,"2017-2021"
"68",21859,65.5,"Ariana Williams",92,"2016-2019"
"69",1230,69.5,"Kayla Bear",90,"2016-2020"
"70",9663,69.5,"Jess Hughes",90,"2016-2019"
"71",2358,71.5,"Kelsey Brown",89,"2019-2023"
"72",2620,71.5,"Kacie Burnett",89,"2015-2017"
"73",1764,75,"Rebecca Blitz",88,"2015-2018"
"74",9101,75,"Kloe Hilbrenner",88,"2019-2022"
"75",13165,75,"Allie Mccourt",88,"2015-2018"
"76",14792,75,"Gianna Nicoletti",88,"2019-2022"
"77",17071,75,"Lindsey Rizzo",88,"2019-2022"
"78",2194,79.5,"Brooklynn Brewington",86,"2019-2023"
"79",6872,79.5,"Marissa Gagliano",86,"2015-2019"
"80",12965,79.5,"Amanda Matsumodo",86,"2015-2017"
"81",15805,79.5,"Toni Perrin",86,"2018-2022"
"82",2444,83,"Ciara Bryan",85,"2017-2021"
"83",18571,83,"Katie Shoultz",85,"2015-2019"
"84",21552,83,"India Wells",85,"2020-2023"
"85",3646,86.5,"Jazmin Clarke",84,"2015-2018"
"86",5471,86.5,"Maureen Duddy",84,"2015-2016"
"87",6437,86.5,"Devyn Flaherty",84,"2020-2023"
"88",21320,86.5,"Kelly Warren",84,"2018-2022"
"89",16023,89.5,"Brianna Pinto",83,"2018-2022"
"90",21666,89.5,"Briana Whisenhunt",83,"2015-2017"
"91",8249,94.5,"Kristin Hallam",82,"2017-2021"
"92",11297,94.5,"Amanda Kulp",82,"2016-2019"
"93",15729,94.5,"Navia Penrod",82,"2016-2019"
"94",17308,94.5,"Rachel Rodriguez",82,"2015-2019"
"95",17520,94.5,"Johneisha Rowe",82,"2020-2023"
"96",18877,94.5,"Delaney Smith",82,"2018-2023"
"97",21273,94.5,"Peyton Ward",82,"2017-2020"
"98",21493,94.5,"Kayla Wedl",82,"2017-2021"
"99",6986,99.5,"Hanna Garber",81,"2019-2023"
"100",21088,99.5,"Kora Wade",81,"2016-2019"
