"","player_id","rank","player","slg","seasons"
"1",1274,1,"Jocelyn Alo","0.996","2018-2022"
"2",38150,2,"Mariah Jameyson","0.986","2017-2018"
"3",73188,3,"Elizabeth Snow","0.942","2016-2017"
"4",73727,4,"Desirae Spearman","0.924","2024-2025"
"5",73647,5,"Karli Spaid","0.909","2021-2024"
"6",3912,6,"Addison Barnard","0.877","2021-2024"
"7",38506,7,"Tiare Jennings","0.874","2021-2024"
"8",61106,8,"Erika Piancastelli","0.856","2016-2018"
"9",33705,9,"Rachel Heinze","0.856","2016-2017"
"10",29447,10,"Kate Gordon","0.853","2017-2021"
"11",67619,11,"Linda Rush","0.851","2017-2021"
"12",82027,12,"Jessie Warren","0.840","2016-2018"
"13",60305,13,"Jenavee Peres","0.828","2016-2021"
"14",35970,14,"Georgia Hood","0.821","2024-2025"
"15",35311,15,"Haley Hodges","0.806","2016-2017"
"16",1312,16,"Victoria Altamirano","0.805","2023-2025"
"17",16236,17,"Jena Cozza","0.803","2016-2018"
"18",76001,18,"Kiara Suttles","0.802","2016-2018"
"19",69424,19,"Amber Schisler","0.802","2016-2017"
"20",73761,20,"Holly Speers","0.799","2016-2018"
"21",15042,21,"Jenna Cone","0.785","2017-2021"
"22",68494,22,"Dj Sanders","0.784","2016-2018"
"23",49694,23,"Katiyana Mauga","0.784","2016-2017"
"24",2692,24,"Reese Atwood","0.776","2023-2025"
"25",14424,25,"Erin Coffel","0.774","2021-2024"
"26",61161,26,"Kasidi Pickering","0.773","2024-2025"
"27",22440,27,"Bri Ellis","0.770","2022-2025"
"28",17880,28,"Mia Davidson","0.769","2018-2022"
"29",57552,29,"Jess Oakland","0.769","2023-2024"
"30",10250,30,"Jasmyn Burns","0.767","2024-2025"
"31",77169,31,"Stephanie Texeira","0.765","2016-2017"
"32",77930,32,"Mckayla Timmons","0.764","2022-2024"
"33",8138,33,"Maya Brady","0.763","2020-2024"
"34",30519,34,"Maddy Grimm","0.762","2016-2017"
"35",11452,35,"Georgia Capell","0.760","2018-2022"
"36",30250,36,"Meghan Gregg","0.759","2016-2018"
"37",86364,37,"Violet Zavodnik","0.757","2021-2024"
"38",28943,38,"Jenna Golembiewski","0.756","2022-2025"
"39",36242,39,"Kelsey Horton","0.754","2016-2019"
"40",61450,40,"Lilli Piper","0.754","2016-2019"
"41",12345,41,"Courtney Cashman","0.752","2017-2021"
"42",32481,42,"Aly Harrell","0.752","2018-2022"
"43",8750,43,"Alyssa Brito","0.750","2021-2024"
"44",29645,44,"Shaylon Govan","0.749","2020-2025"
"45",19670,45,"Alyssa Dicarlo","0.747","2016-2019"
"46",80055,46,"Bailey Vannoy","0.747","2019-2023"
"47",32447,47,"Jessie Harper","0.746","2017-2021"
"48",46014,48,"Emily Lochten","0.745","2016-2018"
"49",71322,49,"Hannah Shifflett","0.745","2019-2023"
"50",559,50,"Ali Aguilar","0.743","2016-2017"
"51",40854,51,"Taryn Kern","0.742","2023-2025"
"52",19974,52,"Kristi Dimeo","0.739","2018-2022"
"53",53206,53,"Taylor Minnick","0.737","2022-2025"
"54",19144,54,"Dayna Denner","0.737","2020-2022"
"55",15466,55,"Kasey Cooper","0.734","2016-2017"
"56",59241,56,"Ella Parker","0.732","2024-2025"
"57",58591,57,"Autumn Owen","0.732","2019-2024"
"58",63848,58,"Paige Rauch","0.732","2018-2022"
"59",42270,59,"Kayla Konwent","0.729","2017-2023"
"60",9888,60,"Sammey Bunch","0.728","2017-2021"
"61",86464,61,"Giorgiana Zeremenko","0.727","2016-2018"
"62",62887,62,"Alexis Pupillo","0.727","2023-2025"
"63",8971,63,"Suzy Brookshire","0.727","2017-2021"
"64",20866,64,"Ivie Drake","0.726","2016-2018"
"65",24907,65,"Hannah Flippen","0.726","2016-2017"
"66",66185,66,"Arianna Rodi","0.725","2023-2025"
"67",10803,67,"Valerie Cagle","0.725","2020-2024"
"68",14651,68,"Jayda Coleman","0.724","2021-2024"
"69",19128,69,"Natalie Denhartog","0.724","2019-2023"
"70",13198,70,"Michelle Chatfield","0.723","2024-2025"
"71",85301,71,"Jordan Woolery","0.723","2023-2025"
"72",5462,72,"Allison Benning","0.723","2022-2025"
"73",84206,73,"Sami Williams","0.723","2017-2021"
"74",38402,74,"Aaliyah Jenkins","0.721","2022-2025"
"75",74849,75,"Mya Stevenson","0.721","2019-2023"
"76",68490,76,"Cydney Sanders","0.719","2022-2025"
"77",59000,77,"Alyssa Palomino","0.719","2017-2021"
"78",62956,78,"Saige Pye","0.718","2018-2022"
"79",23261,79,"Nicole Evans","0.717","2016-2017"
"80",54997,80,"Dejah Mulipola","0.716","2017-2021"
"81",45598,81,"Kendyl Lindaman","0.715","2017-2021"
"82",75924,82,"Sophie Sun","0.713","2024-2025"
"83",18269,83,"Lewa Day","0.713","2020-2024"
"84",41743,84,"Baylee Klingler","0.711","2019-2023"
"85",15826,85,"Tatiana Cortez","0.710","2016-2017"
"86",58891,86,"Sharlize Palacios","0.708","2020-2024"
"87",32156,87,"Kinzie Hansen","0.708","2020-2024"
"88",74822,88,"Megan Stevens","0.708","2017-2020"
"89",9678,89,"Sam Buckley","0.708","2024-2025"
"90",36253,90,"Savannah Horvath","0.707","2016-2018"
"91",44651,91,"Haley Lee","0.706","2019-2023"
"92",267,92,"Yannira Acuna","0.705","2019-2023"
"93",81601,93,"Skylar Wallace","0.705","2019-2024"
"94",73715,94,"Delaney Spaulding","0.704","2016-2017"
"95",17017,95,"Allie Cummins","0.703","2020-2024"
"96",16308,96,"Aleah Craighton","0.703","2016-2018"
"97",71461,97,"Marisa Sholtes","0.703","2016-2019"
"98",53071,98,"Kiki Milloy","0.703","2020-2024"
"99",33829,99,"Bailey Hemphill","0.702","2017-2021"
