"","player_id","rank","player","rc","seasons"
"1",1274,1,"Jocelyn Alo",421.44,"2018-2022"
"2",38506,2,"Tiare Jennings",319.94,"2021-2024"
"3",73647,3,"Karli Spaid",300.85,"2021-2024"
"4",84206,4,"Sami Williams",289.51,"2017-2021"
"5",46519,5,"Amanda Lorenz",279.72,"2016-2019"
"6",67619,6,"Linda Rush",278.22,"2017-2021"
"7",81601,7,"Skylar Wallace",275.15,"2019-2024"
"8",51175,8,"Sydney Mckinney",273.48,"2019-2023"
"9",45598,9,"Kendyl Lindaman",270.02,"2017-2021"
"10",15042,10,"Jenna Cone",266.29,"2017-2021"
"11",29645,11,"Shaylon Govan",264.85,"2020-2025"
"12",41743,12,"Baylee Klingler",264.75,"2019-2023"
"13",17880,13,"Mia Davidson",264.05,"2018-2022"
"14",63848,14,"Paige Rauch",260.02,"2018-2022"
"15",29447,15,"Kate Gordon",260.01,"2017-2021"
"16",3912,16,"Addison Barnard",259.01,"2021-2024"
"17",19670,17,"Alyssa Dicarlo",255.89,"2016-2019"
"18",8138,18,"Maya Brady",255.21,"2020-2024"
"19",10803,19,"Valerie Cagle",253.61,"2020-2024"
"20",14651,20,"Jayda Coleman",253.25,"2021-2024"
"21",17017,21,"Allie Cummins",252.87,"2020-2024"
"22",29852,22,"Megan Grant",251.89,"2020-2025"
"23",6296,23,"Amber Bishop",251.05,"2017-2021"
"24",42482,24,"Kayla Kowalik",250.82,"2019-2023"
"25",33829,25,"Bailey Hemphill",245.34,"2017-2021"
"26",53071,26,"Kiki Milloy",244.41,"2020-2024"
"27",80055,27,"Bailey Vannoy",240.74,"2019-2023"
"28",32447,28,"Jessie Harper",240.62,"2017-2021"
"29",72965,29,"Morgan Smith",239.82,"2016-2024"
"30",44651,30,"Haley Lee",237.52,"2019-2023"
"31",14424,31,"Erin Coffel",235.59,"2021-2024"
"32",59000,32,"Alyssa Palomino",234,"2017-2021"
"33",66753,33,"Sydney Romero",233.99,"2016-2019"
"34",71257,34,"Sydney Sherrill",233.13,"2018-2022"
"35",29130,35,"Alyssa Gonzalez",231.31,"2017-2023"
"36",61106,36,"Erika Piancastelli",230.95,"2016-2018"
"37",58591,37,"Autumn Owen",230.64,"2019-2024"
"38",11452,38,"Georgia Capell",230.63,"2018-2022"
"39",1751,39,"Rachel Anderson",230.37,"2017-2021"
"40",60325,40,"Briana Perez",229.77,"2018-2022"
"41",19974,41,"Kristi Dimeo",229.55,"2018-2022"
"42",36242,42,"Kelsey Horton",228.67,"2016-2019"
"43",53206,43,"Taylor Minnick",227.84,"2022-2025"
"44",9888,44,"Sammey Bunch",227.54,"2017-2021"
"45",32481,45,"Aly Harrell",225.66,"2018-2022"
"46",82027,46,"Jessie Warren",224.52,"2016-2018"
"47",56102,47,"Morgan Nelson",223.58,"2016-2024"
"48",28131,48,"Danielle Gibson",223.17,"2018-2022"
"49",38544,49,"Rylee Jensen",223.09,"2017-2021"
"50",3726,50,"Mac Barbara",222.97,"2020-2025"
"51",46452,51,"Ramsay Lopez",222.35,"2020-2024"
"52",50312,52,"Rachel Mccollum",221.54,"2016-2021"
"53",38370,53,"Janae Jefferson",221.46,"2018-2022"
"54",19128,54,"Natalie Denhartog",220.69,"2019-2023"
"55",21921,55,"Charla Echols",219.82,"2019-2023"
"56",82564,56,"Kayla Wedl",219.09,"2017-2021"
"57",12345,57,"Courtney Cashman",218.9,"2017-2021"
"58",40442,58,"Katie Keller",218.16,"2019-2023"
"59",2852,59,"Patricia Awald",216.09,"2018-2022"
"60",4890,60,"Rachel Becker",215.93,"2019-2023"
"61",24331,61,"Kristin Fifield",215.39,"2020-2024"
"62",39472,62,"Aaliyah Jordan",215.03,"2018-2023"
"63",54749,63,"Sara Mosley",214.61,"2020-2024"
"64",37853,64,"Emma Jackson",214.57,"2023-2025"
"65",45395,65,"Rachel Lewis",212.92,"2018-2022"
"66",67189,66,"Rachel Roupe",211.72,"2022-2025"
"67",8750,67,"Alyssa Brito",211.41,"2021-2024"
"68",8971,68,"Suzy Brookshire",210.79,"2017-2021"
"69",44861,69,"Ulufa Leilua",210.12,"2016-2021"
"70",22440,70,"Bri Ellis",210.08,"2022-2025"
"71",70135,71,"Mia Scott",208.99,"2022-2025"
"72",6967,72,"Mackenzie Boesel",208.04,"2017-2021"
"73",54997,73,"Dejah Mulipola",207.9,"2017-2021"
"74",47310,74,"Grace Lyons",207.38,"2019-2023"
"75",38402,75,"Aaliyah Jenkins",206.6,"2022-2025"
"76",32156,76,"Kinzie Hansen",205.52,"2020-2024"
"77",30250,77,"Meghan Gregg",202.56,"2016-2018"
"78",23849,78,"Alysen Febrey",201.83,"2017-2021"
"79",24997,79,"Morganne Flores",201.75,"2016-2021"
"80",1835,80,"Billie Andrews",200.62,"2021-2024"
"81",13287,81,"Abbey Cheek",200.18,"2016-2019"
"82",12836,82,"Rebekah Cervantes",200.16,"2016-2019"
"83",59446,83,"Makenna Partain",199.84,"2017-2021"
"84",39094,84,"Taylor Johnson",199.09,"2018-2025"
"85",84766,85,"Sadie Wise",198.81,"2018-2022"
"86",42270,86,"Kayla Konwent",198.57,"2017-2023"
"87",61450,87,"Lilli Piper",197.81,"2016-2019"
"88",58486,88,"Korbe Otis",197.49,"2022-2025"
"89",14225,89,"Caleigh Clifton",196.66,"2016-2019"
"90",39380,90,"Madison Jones",196.56,"2016-2022"
"91",4411,91,"Sis Bates",196.48,"2017-2021"
"92",20866,92,"Ivie Drake",195.83,"2016-2018"
"93",78711,93,"Ashley Trierweiler",195.64,"2020-2024"
"94",58891,94,"Sharlize Palacios",195.47,"2020-2024"
"95",12613,95,"Madison Cathcart",195.28,"2017-2021"
"96",2782,96,"Huntyr Ava",194.24,"2020-2024"
"97",39642,97,"Sara Jubas",194.01,"2018-2022"
"98",42989,98,"Sydney Kuma",193.39,"2020-2024"
"99",63333,99,"Melissa Rahrich",193.37,"2017-2021"
"100",40236,100,"Jayda Kearney",192.9,"2021-2024"
