"","player_id","rank","player","opp_avg","seasons"
"1",77208,1,"Lindsey Thayer","0.121","2017-2018"
"2",36961,2,"Hanna Hull","0.128","2017-2021"
"3",83682,3,"Ally Wiegand","0.138","2018-2020"
"4",45068,4,"Sadie Leonard","0.143","2023-2025"
"5",55683,5,"Alanna Namit","0.145","2018-2021"
"6",29716,6,"Julie Graf","0.151","2017-2021"
"7",72943,7,"Mckenna Smith","0.154","2022-2023"
"8",25173,8,"Gina Followell","0.155","2019-2023"
"9",75544,9,"Ashlyn Strother","0.161","2020-2024"
"10",57044,10,"Josie Novak","0.164","2017-2018"
"11",71375,11,"Charli Shinstine","0.164","2020-2024"
"12",58446,12,"Amanda Osterhus","0.165","2017-2021"
"13",18609,13,"Jesse Dedomenico","0.166","2017-2020"
"14",22449,14,"Gracie Ellis","0.166","2022-2025"
"15",50353,15,"Kamryn Mccool","0.168","2019-2022"
"16",34027,16,"Cami Henry","0.169","2019-2022"
"17",53321,17,"Lexi Miskey","0.169","2022-2025"
"18",12059,18,"Kennedy Carruth","0.170","2021-2024"
"19",39442,19,"Sydney Jones","0.173","2017-2018"
"20",44828,20,"Kennedy Lehn","0.173","2022-2023"
"21",1022,21,"Kate Alger","0.173","2022-2025"
"22",66584,22,"Jazmyn Rohrer","0.175","2017-2018"
"23",52553,23,"Alexis Michon","0.177","2021-2025"
"24",71891,24,"Kayla Simacek","0.181","2020-2024"
"25",78518,25,"Nerina Tramp","0.183","2022-2025"
"26",40502,26,"Tayah Kelley","0.184","2020-2024"
"27",49641,27,"Bella Matthias","0.184","2017-2019"
"28",57499,28,"Moira O'reilly","0.185","2021-2023"
"29",67313,29,"Jess Rozick","0.187","2017-2019"
"30",86634,30,"Olivia Zoeller","0.187","2019-2022"
"31",11082,31,"Nikki Camarati","0.187","2019-2022"
"32",30821,32,"Stefanie Guercio","0.188","2018-2021"
"33",58251,33,"Abby Orso","0.189","2022-2025"
"34",57038,34,"Elly Novak","0.189","2020-2023"
"35",70861,35,"Lauren Shannon","0.190","2017-2020"
"36",8327,36,"Samantha Bratland","0.190","2017-2019"
"37",46294,37,"Lindsey Longuet","0.191","2017-2022"
"38",69231,38,"Elisabeth Schaffer","0.191","2017-2020"
"39",31075,39,"Anna Gurr","0.192","2017-2018"
"40",50984,40,"Alexa Mchugh","0.192","2020-2023"
"41",47179,41,"Rylee Lutz","0.193","2022-2025"
"42",84618,42,"Lindsey Windsor","0.194","2020-2024"
"43",55778,43,"Ravenne Nasser","0.194","2017-2019"
"44",25371,44,"Paige Forry","0.194","2022-2025"
"45",27969,45,"Anna Gernant","0.195","2017-2019"
"46",39939,46,"Darian Kanno","0.196","2022-2025"
"47",54683,47,"Renae Morton","0.197","2017-2018"
"48",29477,48,"Hannah Gore","0.197","2022-2025"
