"","player_id","rank","player","ip","seasons"
"1",36961,1,"Hanna Hull",861.8,"2017-2021"
"2",72776,2,"Hannah Smith",853,"2017-2025"
"3",29716,3,"Julie Graf",696.6,"2017-2021"
"4",71891,4,"Kayla Simacek",676.1,"2020-2024"
"5",62161,5,"Megan Potter",646.8,"2017-2022"
"6",46294,6,"Lindsey Longuet",610.7,"2017-2022"
"7",52428,7,"Kailey Meyer",601.6,"2018-2022"
"8",22449,8,"Gracie Ellis",580.6,"2022-2025"
"9",63851,9,"Paige Rauhut",577.6,"2017-2021"
"10",12459,10,"Maddie Castigliego",568.8,"2019-2023"
"11",40502,11,"Tayah Kelley",567.6,"2020-2024"
"12",25173,12,"Gina Followell",558.4,"2019-2023"
"13",39316,13,"Jen Jones",557.4,"2017-2022"
"14",16150,14,"Cheyanne Cox",555.7,"2018-2022"
"15",84753,15,"Josie Wise",554.4,"2021-2025"
"16",27643,16,"Megan Gavin",551.6,"2018-2022"
"17",41680,17,"Rylee Klema",540.6,"2019-2024"
"18",15472,18,"Kendra Cooper",536.5,"2019-2023"
"19",78146,19,"Hannah Tomasko",535.6,"2018-2022"
"20",46146,20,"Alex Loizon",535.5,"2019-2023"
"21",2332,21,"Aly Armstrong",534.6,"2019-2023"
"22",76176,22,"Jennifer Sweeney",533.4,"2018-2022"
"23",52827,23,"Caitlyn Miller",531.1,"2017-2021"
"24",17944,24,"Ashley Davis",526.9,"2019-2023"
"25",64995,25,"Jill Richards",525.6,"2018-2023"
"26",58446,26,"Amanda Osterhus",521.9,"2017-2021"
"27",30196,27,"Jess Greenspan",520.4,"2017-2019"
"28",69231,28,"Elisabeth Schaffer",518.6,"2017-2020"
"29",83775,29,"Jessica Wilcox",515.4,"2017-2021"
"30",9208,30,"Madison Brown",505.8,"2019-2023"
"31",42531,31,"Tayler Kraemer",503.8,"2020-2023"
"32",70003,32,"Kylee Schwind",502.9,"2017-2021"
"33",60079,33,"Kirsten Pelletier",502.6,"2017-2021"
"34",69082,34,"Shelby Saylors",502.5,"2017-2019"
"35",18609,35,"Jesse Dedomenico",501.7,"2017-2020"
"36",34027,36,"Cami Henry",499.1,"2019-2022"
"37",83580,37,"Candace Whittemore",498.6,"2017-2019"
