"","player_id","rank","player","h","seasons"
"1",27015,1,"Alyssa Garcia",379,"2017-2025"
"2",51175,2,"Sydney Mckinney",374,"2019-2023"
"3",72965,3,"Morgan Smith",357,"2016-2024"
"4",38370,4,"Janae Jefferson",353,"2018-2022"
"5",42482,5,"Kayla Kowalik",345,"2019-2023"
"6",84206,6,"Sami Williams",343,"2017-2021"
"7",1274,7,"Jocelyn Alo",338,"2018-2022"
"8",29852,8,"Megan Grant",336,"2020-2025"
"9",6296,9,"Amber Bishop",330,"2017-2021"
"10",23497,9,"Kendra Falby",330,"2022-2025"
"11",39094,11,"Taylor Johnson",328,"2018-2025"
"12",60325,12,"Briana Perez",327,"2018-2022"
"13",56102,13,"Morgan Nelson",325,"2016-2024"
"14",18865,14,"Megan Delgadillo",323,"2020-2025"
"15",4411,15,"Sis Bates",319,"2017-2021"
"16",66753,16,"Sydney Romero",317,"2016-2019"
"17",19154,17,"Haley Denning",315,"2020-2024"
"18",29130,18,"Alyssa Gonzalez",313,"2017-2023"
"19",25255,19,"Taty Forbes",310,"2016-2021"
"20",39380,19,"Madison Jones",310,"2016-2022"
"21",41743,21,"Baylee Klingler",306,"2019-2023"
"22",73021,21,"Sierra Smith",306,"2016-2020"
"23",38506,23,"Tiare Jennings",302,"2021-2024"
"24",4890,24,"Rachel Becker",301,"2019-2023"
"25",46519,25,"Amanda Lorenz",300,"2016-2019"
"26",78711,26,"Ashley Trierweiler",298,"2020-2024"
"27",54058,27,"Maddie Moore",297,"2016-2025"
"28",82318,28,"Lexi Watts",296,"2016-2019"
"29",83104,28,"Ali Wester",296,"2016-2019"
"30",37853,30,"Emma Jackson",294,"2023-2025"
"31",14515,31,"Caitlin Coker",292,"2020-2024"
"32",70135,31,"Mia Scott",292,"2022-2025"
"33",34887,33,"Kelci Hill",290,"2020-2024"
"34",9043,34,"Alex Brown",289,"2018-2025"
"35",10803,35,"Valerie Cagle",287,"2020-2024"
"36",1832,36,"Aliyah Andrews",286,"2017-2021"
"37",8641,36,"Ciara Briggs",286,"2020-2024"
"38",81601,36,"Skylar Wallace",286,"2019-2024"
"39",82564,36,"Kayla Wedl",286,"2017-2021"
"40",84359,36,"Brooke Wilmes",286,"2018-2022"
"41",9900,41,"Allee Bunker",285,"2019-2023"
"42",9473,42,"Ciara Bryan",284,"2017-2021"
"43",12162,43,"Nia Carter",283,"2020-2024"
"44",43372,43,"Jenna Laird",283,"2021-2024"
"45",59446,43,"Makenna Partain",283,"2017-2021"
"46",28131,46,"Danielle Gibson",282,"2018-2022"
"47",47483,46,"Alexis Mack",282,"2016-2021"
"48",32447,48,"Jessie Harper",280,"2017-2021"
"49",60222,48,"Navia Penrod",280,"2016-2019"
"50",71257,48,"Sydney Sherrill",280,"2018-2022"
"51",6967,51,"Mackenzie Boesel",279,"2017-2021"
"52",34525,51,"Morgan Hess",279,"2020-2025"
"53",18159,53,"Taylor Davis",278,"2018-2023"
"54",50221,53,"Justyce Mcclain",278,"2016-2019"
"55",8138,55,"Maya Brady",277,"2020-2024"
"56",15042,56,"Jenna Cone",276,"2017-2021"
"57",38544,56,"Rylee Jensen",276,"2017-2021"
"58",1751,58,"Rachel Anderson",275,"2017-2021"
"59",9297,58,"Taylor Brown",275,"2016-2025"
"60",19670,58,"Alyssa Dicarlo",275,"2016-2019"
"61",61933,58,"Jaden Pone",275,"2022-2025"
"62",73647,62,"Karli Spaid",274,"2021-2024"
"63",14651,63,"Jayda Coleman",273,"2021-2024"
"64",38967,63,"Lauren Johnson",273,"2018-2025"
"65",54749,65,"Sara Mosley",272,"2020-2024"
"66",67956,65,"Sierra Sacco",272,"2022-2025"
"67",6299,67,"Autumn Bishop",271,"2017-2021"
"68",17880,67,"Mia Davidson",271,"2018-2022"
"69",53071,69,"Kiki Milloy",270,"2020-2024"
"70",69919,69,"Emma Schutter",270,"2022-2025"
"71",10058,71,"Summer Burgess",269,"2017-2021"
"72",44448,71,"Aubrey Leach",269,"2016-2019"
"73",21921,73,"Charla Echols",268,"2019-2023"
"74",24331,73,"Kristin Fifield",268,"2020-2024"
"75",51061,73,"Sydney Mckay",268,"2016-2019"
"76",67619,73,"Linda Rush",268,"2017-2021"
"77",45598,77,"Kendyl Lindaman",267,"2017-2021"
"78",66790,77,"Kayla Roncin",267,"2021-2024"
"79",3848,79,"Carley Barjaktarovich",265,"2019-2023"
"80",63848,80,"Paige Rauch",264,"2018-2022"
"81",29645,81,"Shaylon Govan",263,"2020-2025"
"82",9239,82,"Morgan Brown",262,"2016-2025"
"83",50312,82,"Rachel Mccollum",262,"2016-2021"
"84",70521,82,"Chelie Senini",262,"2020-2024"
"85",14171,85,"Jessica Clements",261,"2022-2025"
"86",19974,85,"Kristi Dimeo",261,"2018-2022"
"87",50728,85,"Hannah Mcewen",261,"2018-2022"
"88",76270,85,"Mackenzie Swinehart",261,"2017-2021"
"89",84766,85,"Sadie Wise",261,"2018-2022"
"90",351,90,"Hannah Adams",260,"2018-2022"
"91",14409,90,"Jada Cody",260,"2020-2024"
"92",19272,90,"Kindall Deramus",260,"2020-2024"
"93",21925,90,"Shelby Echols",260,"2020-2024"
"94",33012,90,"Lexi Hastings",260,"2022-2025"
"95",40442,95,"Katie Keller",259,"2019-2023"
"96",29447,96,"Kate Gordon",258,"2017-2021"
"97",39472,96,"Aaliyah Jordan",258,"2018-2023"
"98",69674,96,"Jackie Schoff",258,"2016-2019"
"99",73017,96,"Shea Smith",258,"2016-2019"
"100",82452,96,"Katie Webb",258,"2017-2021"
