"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"1",457,15963,2018,"Brittany Pickett",299.2,258,76,22,216,30,"2.313",0.223,1.188,"3.241"
"2",670,17614,2018,"Randi Rupp",278.1,197,40,12,317,18,"1.257",0.188,0.895,"1.523"
"3",128,21677,2018,"Alea White",266.2,253,92,15,175,20,"2.336",0.244,1.35,"3.266"
"4",244,1479,2018,"Lindsey Bert",259,157,52,20,353,14,"1.514",0.168,0.884,"1.211"
"5",600,20396,2018,"Abby Trahan",255.2,207,69,45,186,23,"2.464",0.21,1.256,"3.452"
"6",428,6394,2018,"Amber Fiser",244.1,173,63,10,237,12,"1.690",0.19,1.007,"1.995"
"7",255,469,2018,"Emily Anderson",244,234,71,19,193,18,"2.266",0.24,1.328,"2.884"
"8",671,5851,2018,"Summer Ellyson",238,150,62,11,220,18,"1.529",0.171,0.937,"2.455"
"9",288,8793,2018,"Savannah Heebner",237.2,174,34,15,150,11,"1.149",0.195,0.938,"2.358"
"10",719,21390,2018,"Emily Watson",235.2,184,64,8,306,25,"1.604",0.207,1.086,"2.099"
"11",519,19468,2018,"Danielle Stiene",232.1,156,58,19,281,13,"1.446",0.181,1.003,"1.703"
"12",659,10352,2018,"Brianna Jones",232,217,59,13,212,16,"2.082",0.236,1.246,"2.400"
"13",493,18369,2018,"Jacquelyn Sertic",230.1,162,65,21,307,10,"1.702",0.189,1.077,"1.419"
"14",513,9345,2018,"Alexis Holloway",228,186,137,10,179,13,"2.579",0.21,1.461,"3.505"
"15",315,18706,2018,"Faith Sims",227.2,171,145,34,163,4,"2.490",0.197,1.537,"3.555"
"16",489,13923,2018,"Courtney Mirabella",227.2,161,84,15,306,8,"1.691",0.189,1.142,"1.473"
"17",646,2336,2018,"Devin Brown",227.2,174,70,31,231,16,"2.029",0.201,1.208,"2.615"
"18",68,5458,2018,"Ali Dubois",225.2,175,56,12,192,14,"2.016",0.206,1.077,"2.409"
"19",317,277,2018,"Odicci Alexander",225.1,178,47,17,216,29,"2.268",0.207,1.074,"3.008"
"20",810,18428,2018,"Ashley Sharp",224.2,228,53,18,127,12,"2.493",0.249,1.331,"2.912"
"21",28,10492,2018,"Giselle Juarez",224.1,124,41,21,305,17,"1.217",0.156,0.829,"1.495"
"22",51,17248,2018,"Gia Rodoni",223.2,180,65,6,268,21,"2.316",0.211,1.122,"2.176"
"23",283,4086,2018,"Sarah Cornell",222.1,154,75,14,245,30,"2.298",0.188,1.093,"3.151"
"24",404,18957,2018,"Molly Smith",222.1,169,61,24,220,21,"1.984",0.201,1.142,"2.796"
"25",711,4899,2018,"Megan Dejter",222.1,213,53,15,115,16,"2.078",0.24,1.264,"3.219"
"26",702,15947,2018,"Randy Phillips",222,220,79,30,53,31,"3.216",0.252,1.482,"5.211"
"27",370,943,2018,"Hannah Bandimere",220.2,201,50,15,125,11,"2.030",0.231,1.205,"2.799"
"28",2,14937,2018,"Hannah Null",220.1,177,37,13,194,20,"2.097",0.211,1.03,"2.500"
"29",418,1253,2018,"Meghan Beaubien",217,101,46,25,266,7,"1.161",0.134,0.793,"1.349"
"30",694,656,2018,"Caylan Arnold",217,167,69,12,227,18,"2.065",0.204,1.143,"2.506"
"31",502,20942,2018,"Valerie Vidal",215.1,193,58,12,162,21,"2.861",0.23,1.221,"3.138"
"32",235,1059,2018,"Kelly Barnhill",214.1,85,76,11,324,21,"1.078",0.118,0.802,"1.868"
"33",31,8180,2018,"Mary Haff",213.1,118,44,20,249,20,"1.509",0.155,0.853,"2.184"
"34",102,12982,2018,"Celina Matthias",212.2,167,77,18,207,11,"2.107",0.206,1.232,"2.466"
"35",563,14275,2018,"Abby Morrow",211.1,229,23,7,92,12,"2.153",0.264,1.226,"2.693"
"36",67,5432,2018,"Jessica Dreswick",210.2,173,84,29,184,8,"2.426",0.212,1.358,"2.756"
"37",363,7175,2018,"Sydney Gay",209.2,158,69,10,171,19,"1.970",0.198,1.13,"3.077"
"38",782,11494,2018,"Bailey Lange",209.2,203,81,15,184,10,"2.905",0.239,1.426,"2.638"
"39",110,7044,2018,"Rachel Garcia",208,104,48,28,315,11,"1.312",0.141,0.865,"1.155"
"40",2711,12993,2018,"Sydney Matzko",206.2,186,68,29,142,7,"2.168",0.227,1.369,"2.874"
"41",201,22100,2018,"Jessica Wireman",205.1,160,79,17,240,16,"2.318",0.206,1.247,"2.478"
"42",234,8393,2018,"Kylee Hanson",204.2,111,44,6,241,14,"1.334",0.153,0.787,"1.667"
"43",352,2031,2018,"Parker Boyd",204.2,179,62,11,187,11,"2.565",0.223,1.231,"2.341"
"44",219,6518,2018,"Morgan Florey",199.2,145,74,27,303,8,"1.963",0.19,1.232,"1.403"
"45",228,2366,2018,"Kyaira Brown",198.2,193,60,27,139,12,"3.065",0.24,1.409,"3.100"
"46",306,20402,2018,"Tara Trainer",198.2,147,117,8,216,11,"2.643",0.195,1.369,"2.833"
"47",234,10895,2018,"Meghan King",198,133,54,14,190,5,"1.167",0.184,1.015,"1.839"
"48",312,5323,2018,"Allison Doocy",197.2,180,55,17,205,9,"1.806",0.232,1.275,"2.010"
"49",458,22110,2018,"Haley Wiseman",197.2,182,89,17,191,16,"2.868",0.237,1.457,"3.128"
"50",277,20183,2018,"Dana Thomsen",197.1,213,53,11,146,24,"2.944",0.262,1.404,"3.474"
"51",419,10111,2018,"Cori Jennings",197,173,61,17,111,7,"2.487",0.224,1.274,"2.923"
"52",107,3932,2018,"Zoe Conley",195.2,173,63,4,189,13,"2.182",0.228,1.227,"2.359"
"53",202,15625,2018,"Mollie Paulick",195.2,165,74,9,182,15,"2.290",0.218,1.267,"2.809"
"54",490,21192,2018,"Devin Wallace",194.2,187,118,35,137,13,"3.344",0.246,1.747,"4.218"
"55",700,5712,2018,"Erin Edmoundson",193.1,179,57,17,135,17,"2.969",0.235,1.309,"3.295"
"56",2699,15306,2018,"Megan Overton",193,173,99,17,162,24,"3.301",0.229,1.497,"4.141"
"57",10411,1573,2018,"Christina Biggerstaff",193,124,84,5,229,21,"2.031",0.178,1.104,"2.825"
"58",156,9800,2018,"Bridgette Hutton",191.2,180,106,7,129,11,"3.214",0.237,1.529,"3.569"
"59",439,16996,2018,"Amanda Riley",191.2,135,86,13,219,12,"2.155",0.187,1.221,"2.478"
"60",463,9913,2018,"Kaylan Jablonski",191.1,209,77,8,133,15,"3.439",0.269,1.537,"3.362"
"61",365,21210,2018,"Allie Walljasper",191,123,36,7,143,9,"1.173",0.173,0.869,"2.191"
"62",528,13059,2018,"Mariah Mazon",191,208,62,12,141,16,"2.895",0.259,1.476,"3.175"
"63",83,7196,2018,"Raeanne Geffert",190.2,176,24,2,152,12,"2.056",0.233,1.059,"2.033"
"64",316,1591,2018,"Alyssa Bilodeau",190,166,76,14,115,4,"2.100",0.226,1.347,"2.884"
"65",562,9023,2018,"Casey Herzog",189.2,178,61,11,171,9,"1.661",0.238,1.318,"2.353"
"66",111,13939,2018,"Tayler Misfeldt",189.1,177,84,10,182,15,"2.514",0.238,1.431,"2.997"
"67",47,13760,2018,"Aeshia Miles",189,179,58,14,159,7,"2.000",0.234,1.328,"2.342"
"68",725,19247,2018,"Courtney Springman",188.1,145,116,41,152,0,"2.007",0.205,1.604,"3.287"
"69",756,401,2018,"Taran Alvelo",188,104,36,15,242,8,"1.303",0.155,0.824,"1.193"
