"","team_id","player_id","rank","player","hr","season"
"1",374,12261,1,"Mackenzie Chitwood",21,2019
"2",139,29869,2,"Kaitlyn Hasty",19,2022
"3",139,29869,2,"Kaitlyn Hasty",19,2019
"4",264,75082,4,"Darice Wheeler",18,2018
"5",622,42815,4,"Abby Mace",18,2022
"6",717,61028,4,"Cassie Ruscz",18,2016
"7",200,44853,7,"Brooke Matyasovsky",17,2022
"8",809,17571,7,"Sydney Despres",17,2016
"9",28593,40404,7,"Savannah Lee",17,2017
"10",30037,23181,7,"Kaylee Fox",17,2018
"11",1094,61888,11,"Sydney Sandifer",16,2023
"12",28593,40404,11,"Savannah Lee",16,2019
"13",30037,23181,11,"Kaylee Fox",16,2017
"14",150,67902,14,"Skyler Stookey",15,2023
"15",218,40271,14,"Morgan Ledbetter",15,2019
"16",300,37034,14,"Ava Khoury",15,2023
"17",374,42777,14,"Taylor Mabry",15,2019
"18",382,43837,14,"Alicia Marino",15,2017
"19",382,70683,14,"Evonne Torres",15,2019
"20",420,61023,14,"Noelle Ruschil",15,2022
"21",542,64320,14,"Vada blue Sherrill",15,2018
"22",815,60946,14,"Carleigh Ruleman",15,2017
"23",1062,54485,14,"Jayme Perez",15,2017
"24",1094,47295,14,"Allison Meyer",15,2018
"25",1192,39099,14,"Laurren Ladwig",15,2018
"26",1297,45947,14,"Erin Mcgrath",15,2022
"27",22626,24299,14,"Kaelani Gamble",15,2022
"28",28749,16789,14,"Krista Deburger",15,2016
"29",30037,31522,14,"Debbie Hill",15,2023
"30",69,44982,30,"Angelina Mayers",14,2023
"31",125,19354,30,"Anna Dunn",14,2018
"32",139,52138,30,"Patty maye Ohanian",14,2019
"33",168,21693,30,"Hannah Feldman",14,2018
"34",382,8721,30,"Desiree Buboi",14,2016
"35",542,54342,30,"Makenzie Pennell",14,2019
"36",542,64320,30,"Vada blue Sherrill",14,2019
"37",601,38746,30,"Sarah Kubik",14,2019
"38",622,65043,30,"Molly Simpson",14,2016
"39",750,22984,30,"Mara Forsyth",14,2017
"40",781,572,30,"Marialena Ahern",14,2016
"41",789,15608,30,"Lexi Curt",14,2018
"42",789,22512,30,"Sydney Fleming",14,2023
"43",987,45770,30,"Josie Mcelroy",14,2018
"44",1062,61599,30,"Sabrina Salts",14,2018
"45",1062,41255,30,"Lacey Lindsey",14,2017
"46",1297,37103,30,"Kennedy Kila",14,2023
"47",18,70036,47,"Liz Thompson",13,2017
"48",21,71643,47,"Haley Ullrich",13,2022
"49",88,62301,47,"Lindsay Savar",13,2017
"50",139,59343,47,"Bailey Roberts",13,2022
"51",139,27176,47,"Brooke Greaver",13,2023
"52",160,3191,47,"Melissa Balkema",13,2018
"53",168,9654,47,"Lizzy Byers",13,2022
"54",259,17717,47,"Ashley Deyoung",13,2016
"55",264,75082,47,"Darice Wheeler",13,2019
"56",300,5102,47,"Sam Berghoff",13,2018
"57",581,2646,47,"Alizah Ayon",13,2019
"58",775,10840,47,"Kailey Carrano",13,2023
"59",795,62794,47,"Mia Schmidtke",13,2019
"60",808,76784,47,"Caraline Wood",13,2019
"61",815,29257,47,"Alyssa Harhigh",13,2019
"62",973,23770,47,"Morgan Frye",13,2022
"63",973,23770,47,"Morgan Frye",13,2023
"64",1036,56270,47,"Jess Pozezinski",13,2022
"65",1062,41255,47,"Lacey Lindsey",13,2016
"66",1094,61888,47,"Sydney Sandifer",13,2022
"67",1094,7580,47,"Roni Braun",13,2019
"68",1094,23100,47,"Claire Fountain",13,2022
"69",1094,56124,47,"Kamryn Potter",13,2023
"70",8567,36530,47,"Courtney Keller",13,2023
"71",30035,37341,47,"Liz King",13,2017
"72",30037,23181,47,"Kaylee Fox",13,2016
"73",30047,41546,47,"Shannon Lloyd",13,2019
"74",105,43832,74,"Kendall Marinesi",12,2019
"75",117,40473,74,"Lexie Leggett",12,2023
"76",139,52138,74,"Patty maye Ohanian",12,2018
"77",142,71890,74,"Maddie Valdez",12,2019
"78",215,13830,74,"Olivia Conti",12,2022
"79",217,71492,74,"Janelle Turnquest",12,2016
"80",341,62648,74,"Alexis Schiff",12,2016
"81",385,36337,74,"Rachel Kazmirski",12,2023
"82",411,14989,74,"Erin Cressman",12,2016
"83",443,74521,74,"Brooke Wehr",12,2018
"84",567,1006,74,"Collette Allen",12,2022
"85",601,37742,74,"Allie Klonowski",12,2022
"86",641,27963,74,"Rachel Guessford",12,2016
"87",641,42387,74,"Maddie Luderman",12,2023
"88",745,33037,74,"Cassetty Howerin",12,2017
"89",750,41291,74,"Ella Link",12,2022
"90",789,49949,74,"Mackenzie Murphy",12,2018
"91",805,48974,74,"Haley Morelli",12,2017
"92",966,66294,74,"Megan Sooy",12,2022
"93",1094,72452,74,"Annie Veatch",12,2018
"94",1094,7580,74,"Roni Braun",12,2018
"95",1112,14917,74,"Makayla Crawford",12,2018
"96",1179,65981,74,"Paige Smotherman",12,2019
"97",1454,69869,74,"Maddy Thomas",12,2019
"98",2694,73306,74,"Eriana Wagner",12,2023
"99",8404,55040,74,"Jocelyn Pfleiger",12,2023
"100",8981,13622,74,"Raven Comtois",12,2023
"101",22235,1595,74,"Riley Anderson",12,2023
"102",30037,2751,74,"Carly Bachna",12,2017
