"","team_id","player_id","rank","player","hr","season"
"1",374,12224,1,"Mackenzie Chitwood",21,2019
"2",139,29780,2,"Kaitlyn Hasty",19,2019
"3",139,29780,2,"Kaitlyn Hasty",19,2022
"4",264,74860,4,"Darice Wheeler",18,2018
"5",622,42702,4,"Abby Mace",18,2022
"6",717,60847,4,"Cassie Ruscz",18,2016
"7",200,44735,7,"Brooke Matyasovsky",17,2022
"8",809,17517,7,"Sydney Despres",17,2016
"9",28593,40293,7,"Savannah Lee",17,2017
"10",30037,23118,7,"Kaylee Fox",17,2018
"11",1094,61705,11,"Sydney Sandifer",16,2023
"12",28593,40293,11,"Savannah Lee",16,2019
"13",30037,23118,11,"Kaylee Fox",16,2017
"14",150,67708,14,"Skyler Stookey",15,2023
"15",218,40160,14,"Morgan Ledbetter",15,2019
"16",300,36931,14,"Ava Khoury",15,2023
"17",374,42664,14,"Taylor Mabry",15,2019
"18",382,43720,14,"Alicia Marino",15,2017
"19",382,70480,14,"Evonne Torres",15,2019
"20",420,60842,14,"Noelle Ruschil",15,2022
"21",542,64131,14,"Vada blue Sherrill",15,2018
"22",815,60765,14,"Carleigh Ruleman",15,2017
"23",1062,54320,14,"Jayme Perez",15,2017
"24",1094,47163,14,"Allison Meyer",15,2018
"25",1192,38988,14,"Laurren Ladwig",15,2018
"26",1297,45826,14,"Erin Mcgrath",15,2022
"27",22626,24232,14,"Kaelani Gamble",15,2022
"28",28749,16742,14,"Krista Deburger",15,2016
"29",30037,31429,14,"Debbie Hill",15,2023
"30",69,44864,30,"Angelina Mayers",14,2023
"31",125,19294,30,"Anna Dunn",14,2018
"32",139,51989,30,"Patty maye Ohanian",14,2019
"33",168,21632,30,"Hannah Feldman",14,2018
"34",382,8697,30,"Desiree Buboi",14,2016
"35",542,54177,30,"Makenzie Pennell",14,2019
"36",542,64131,30,"Vada blue Sherrill",14,2019
"37",601,38638,30,"Sarah Kubik",14,2019
"38",622,64854,30,"Molly Simpson",14,2016
"39",750,22921,30,"Mara Forsyth",14,2017
"40",781,570,30,"Marialena Ahern",14,2016
"41",789,22449,30,"Sydney Fleming",14,2023
"42",789,15565,30,"Lexi Curt",14,2018
"43",987,45650,30,"Josie Mcelroy",14,2018
"44",1062,41143,30,"Lacey Lindsey",14,2017
"45",1062,61416,30,"Sabrina Salts",14,2018
"46",1297,36999,30,"Kennedy Kila",14,2023
"47",18,69835,47,"Liz Thompson",13,2017
"48",21,71435,47,"Haley Ullrich",13,2022
"49",88,62118,47,"Lindsay Savar",13,2017
"50",139,59168,47,"Bailey Roberts",13,2022
"51",139,27097,47,"Brooke Greaver",13,2023
"52",160,3182,47,"Melissa Balkema",13,2018
"53",168,9629,47,"Lizzy Byers",13,2022
"54",259,17662,47,"Ashley Deyoung",13,2016
"55",264,74860,47,"Darice Wheeler",13,2019
"56",300,5089,47,"Sam Berghoff",13,2018
"57",581,2639,47,"Alizah Ayon",13,2019
"58",775,10811,47,"Kailey Carrano",13,2023
"59",795,62609,47,"Mia Schmidtke",13,2019
"60",808,76555,47,"Caraline Wood",13,2019
"61",815,29172,47,"Alyssa Harhigh",13,2019
"62",973,23703,47,"Morgan Frye",13,2022
"63",973,23703,47,"Morgan Frye",13,2023
"64",1036,56100,47,"Jess Pozezinski",13,2022
"65",1062,41143,47,"Lacey Lindsey",13,2016
"66",1094,7560,47,"Roni Braun",13,2019
"67",1094,55955,47,"Kamryn Potter",13,2023
"68",1094,61705,47,"Sydney Sandifer",13,2022
"69",1094,23037,47,"Claire Fountain",13,2022
"70",8567,36428,47,"Courtney Keller",13,2023
"71",30035,37237,47,"Liz King",13,2017
"72",30037,23118,47,"Kaylee Fox",13,2016
"73",30047,41434,47,"Shannon Lloyd",13,2019
"74",105,43715,74,"Kendall Marinesi",12,2019
"75",117,40362,74,"Lexie Leggett",12,2023
"76",139,51989,74,"Patty maye Ohanian",12,2018
"77",142,71681,74,"Maddie Valdez",12,2019
"78",215,13789,74,"Olivia Conti",12,2022
"79",217,71284,74,"Janelle Turnquest",12,2016
"80",341,62463,74,"Alexis Schiff",12,2016
"81",385,36235,74,"Rachel Kazmirski",12,2023
"82",411,14947,74,"Erin Cressman",12,2016
"83",443,74303,74,"Brooke Wehr",12,2018
"84",567,1005,74,"Collette Allen",12,2022
"85",601,37636,74,"Allie Klonowski",12,2022
"86",641,27883,74,"Rachel Guessford",12,2016
"87",641,42274,74,"Maddie Luderman",12,2023
"88",745,32940,74,"Cassetty Howerin",12,2017
"89",750,41179,74,"Ella Link",12,2022
"90",789,49812,74,"Mackenzie Murphy",12,2018
"91",805,48839,74,"Haley Morelli",12,2017
"92",966,66101,74,"Megan Sooy",12,2022
"93",1094,72240,74,"Annie Veatch",12,2018
"94",1094,7560,74,"Roni Braun",12,2018
"95",1112,14874,74,"Makayla Crawford",12,2018
"96",1179,65790,74,"Paige Smotherman",12,2019
"97",1454,69667,74,"Maddy Thomas",12,2019
"98",2694,73093,74,"Eriana Wagner",12,2023
"99",8404,54875,74,"Jocelyn Pfleiger",12,2023
"100",8981,13581,74,"Raven Comtois",12,2023
"101",22235,1592,74,"Riley Anderson",12,2023
"102",30037,2744,74,"Carly Bachna",12,2017
