"","team_id","player_id","rank","player","avg","season"
"1",218,64293,1,"Sydney Shubert","0.584",2019
"2",24317,16507,2,"Jordan Day","0.578",2019
"3",30047,41368,3,"Shannon Lloyd","0.571",2019
"4",809,17497,4,"Sydney Despres","0.570",2018
"5",321,24110,5,"Maleea Gallaspy","0.569",2023
"6",24317,16507,5,"Jordan Day","0.569",2022
"7",218,19377,7,"Kerrigan Dura","0.556",2016
"8",30072,29603,7,"Ashleigh Hartwig","0.556",2022
"9",1297,29786,9,"Kathryn Hatlen","0.553",2019
"10",351,6799,10,"Sammy Bost","0.551",2016
"11",218,53776,11,"Raelyn Payne","0.540",2022
"12",1450,9241,11,"Erica Burney","0.540",2016
"13",622,13402,13,"Leanne Collins","0.537",2017
"14",1159,28719,14,"Jessie Hammers","0.536",2017
"15",179,66976,15,"Jamie Stefani","0.535",2018
"16",1255,727,16,"Avery Alberghini","0.534",2019
"17",8911,44018,17,"Lexi Martin","0.533",2022
"18",12399,12556,18,"Amanda Clark","0.532",2018
"19",372,67826,19,"Anna Strien","0.531",2017
"20",218,40097,20,"Morgan Ledbetter","0.530",2019
"21",15882,4501,20,"Lauren Begg","0.530",2023
"22",727,61975,22,"Karson Saunders","0.528",2023
"23",8911,44018,22,"Lexi Martin","0.528",2023
"24",443,44559,24,"Janae Matos","0.523",2017
"25",321,61527,25,"Rylea Sandel","0.521",2022
"26",798,58825,25,"Hannah Ritter","0.521",2023
"27",809,17497,27,"Sydney Despres","0.519",2016
"28",245,3527,28,"Alyssa Barlow","0.518",2017
"29",1112,11062,29,"Makayla Carver","0.514",2018
"30",1133,7960,29,"Bri Brochu","0.514",2017
"31",303,3869,31,"Annemarie Bartow","0.513",2016
"32",1196,23069,32,"Ally Fox","0.511",2019
"33",1454,64547,32,"Michelle Silva","0.511",2018
"34",1111,7148,34,"Mia Boyd","0.510",2023
"35",1162,41623,34,"Taylor Long","0.510",2019
"36",399,53492,36,"Ab'c'de Patane","0.509",2023
"37",673,17415,36,"Amelia Derosa","0.509",2023
"38",30081,40310,36,"Madelyn Lehigh","0.509",2023
"39",542,64029,39,"Vada blue Sherrill","0.508",2018
"40",760,7928,40,"Gen Brittingham","0.505",2019
"41",8597,30209,40,"Jordyn Heckendorf","0.505",2023
"42",515,49149,42,"Cat Moruzzi","0.504",2022
"43",745,32895,42,"Cassetty Howerin","0.504",2016
"44",2798,25027,42,"Ivy Geloso","0.504",2022
"45",22626,26567,42,"Emily Gorecki","0.504",2016
"46",69,58320,46,"Caroline Rice","0.500",2016
"47",179,66976,46,"Jamie Stefani","0.500",2019
"48",264,74738,46,"Darice Wheeler","0.500",2018
"49",329,61056,46,"Emily Sabo","0.500",2017
"50",798,58825,46,"Hannah Ritter","0.500",2022
"51",803,33771,46,"Mary Iliopoulos","0.500",2018
"52",1162,3782,46,"Emily Barrs","0.500",2017
"53",8597,31870,46,"Lisa Hoffer","0.500",2023
"54",24317,16507,46,"Jordan Day","0.500",2018
"55",25719,21518,46,"Cameryn Feathers","0.500",2023
"56",30041,24621,46,"Kierston Garner","0.500",2016
"57",30084,35171,46,"Sarah Johnson","0.500",2023
"58",58,56732,58,"Carly Quint","0.496",2022
"59",88,21801,58,"Chrissy Ferraro","0.496",2016
"60",1267,18486,60,"Saylor Donnelly","0.495",2022
"61",452,2962,61,"Brittany Bait","0.493",2016
"62",442,6730,62,"Alyssa Borozan","0.492",2023
"63",684,68579,62,"Delaney Sylvester","0.492",2016
"64",751,35151,62,"Rachel Johnson","0.492",2018
"65",8688,77276,62,"Cassie Young","0.492",2016
"66",781,2420,66,"Brittany Attaway","0.491",2018
"67",1111,35253,67,"Kate Jolliff rosado","0.490",2018
"68",1099,58868,68,"Ami Rivera","0.489",2023
"69",30036,16834,69,"Lydia Defazio","0.488",2019
"70",443,5451,70,"Maddisen Bieber","0.487",2019
"71",755,46544,70,"Hannah Mehrle","0.487",2016
"72",118,45917,72,"Brooke Mckelvey","0.486",2022
"73",451,30370,72,"Rachel Heizer","0.486",2016
"74",492,47488,72,"Emily Miller","0.486",2018
"75",30037,59337,72,"Erica Robles","0.486",2018
"76",60,16689,76,"Lexi Debace","0.485",2022
"77",542,54089,76,"Makenzie Pennell","0.485",2019
"78",673,18783,76,"Mackenzie Doyle","0.485",2022
"79",1451,41311,76,"Kailey Liverman","0.485",2016
"80",21830,36694,76,"Mariann Kennison","0.485",2019
"81",23121,41313,76,"Melissa Livermore","0.485",2019
"82",139,51902,82,"Patty maye Ohanian","0.484",2018
"83",279,72322,82,"Caitlin Vernon","0.484",2019
"84",420,60746,82,"Noelle Ruschil","0.484",2022
"85",1254,62570,82,"Jackie Schneider","0.484",2017
"86",28749,76879,82,"Stella Wulker","0.484",2022
"87",30081,40310,82,"Madelyn Lehigh","0.484",2022
"88",321,61737,88,"Jailene Santiago","0.483",2023
"89",759,15187,88,"Katie Croxall","0.483",2022
"90",238,43546,90,"Dayna Marchant","0.482",2018
"91",751,35151,90,"Rachel Johnson","0.482",2019
"92",23121,41313,90,"Melissa Livermore","0.482",2016
"93",303,31551,93,"Keani Hindle","0.481",2019
"94",1400,77012,93,"Taylor Yancey","0.481",2016
"95",1461,32438,93,"Savannah Hooper","0.481",2016
"96",8688,77276,93,"Cassie Young","0.481",2018
"97",22626,26567,93,"Emily Gorecki","0.481",2017
"98",30031,42352,93,"Megan Lundt","0.481",2023
"99",221,11043,99,"Nikki Caruso","0.480",2016
"100",258,37997,99,"Giovanna Komst","0.480",2023
"101",259,65717,99,"Shilah Snead","0.480",2016
"102",279,17707,99,"Maranda Diaz","0.480",2018
"103",733,58343,99,"Nicole Rice","0.480",2017
"104",11036,53113,99,"Arianna Papas","0.480",2023
"105",30035,40965,99,"Maria Lilienthal","0.480",2023
"106",30170,21386,99,"Audrey Farrell","0.480",2023
