"","team_id","player_id","rank","player","rc","season"
"1",809,19387,1,"Sydney Despres"," 84.84",2016
"2",30047,45983,2,"Shannon Lloyd"," 84.60",2019
"3",300,5627,3,"Sam Berghoff"," 79.43",2018
"4",622,47412,4,"Abby Mace"," 78.47",2022
"5",321,26755,5,"Maleea Gallaspy"," 78.09",2023
"6",264,83228,6,"Darice Wheeler"," 76.51",2018
"7",30037,34848,7,"Debbie Hill"," 75.89",2023
"8",24317,18260,8,"Jordan Day"," 74.37",2019
"9",542,71258,9,"Vada blue Sherrill"," 73.04",2018
"10",218,21488,10,"Kerrigan Dura"," 72.01",2016
"11",259,73132,11,"Shilah Snead"," 72.00",2016
"12",542,60189,12,"Makenzie Pennell"," 69.71",2019
"13",542,71258,13,"Vada blue Sherrill"," 69.62",2019
"14",618,36488,14,"Olivia Howe"," 68.87",2021
"15",1450,10210,15,"Erica Burney"," 68.18",2016
"16",139,57749,16,"Patty maye Ohanian"," 67.61",2018
"17",1094,78153,17,"Sharon Tomei"," 67.60",2025
"18",461,962,18,"Kaijah Alexander"," 67.16",2025
"19",372,75488,19,"Anna Strien"," 67.14",2017
"20",22626,29487,20,"Emily Gorecki"," 67.05",2016
"21",1179,70275,21,"Claire Seats"," 67.00",2025
"22",321,68468,22,"Rylea Sandel"," 66.78",2022
"23",24317,18260,23,"Jordan Day"," 66.66",2022
"24",160,3509,24,"Melissa Balkema"," 66.01",2018
"25",396,84019,25,"Brecca Williams"," 65.38",2025
"26",150,39294,26,"Haley Jones"," 65.36",2019
"27",808,85094,26,"Caraline Wood"," 65.36",2019
"28",745,36525,28,"Cassetty Howerin"," 65.18",2017
"29",30037,25597,29,"Kaylee Fox"," 65.09",2018
"30",21,79404,30,"Haley Ullrich"," 64.58",2022
"31",382,32359,31,"Sarah Harker"," 64.51",2024
"32",745,36525,32,"Cassetty Howerin"," 63.97",2016
"33",795,50378,33,"Jordyn Mccormack"," 63.69",2023
"34",139,33021,34,"Kaitlyn Hasty"," 63.68",2022
"35",1062,47597,35,"Tristen Maddox"," 63.44",2025
"36",121,64612,36,"Clare Rettler"," 63.33",2025
"37",382,9589,37,"Desiree Buboi"," 62.68",2016
"38",139,57749,38,"Patty maye Ohanian"," 62.65",2019
"39",374,13488,39,"Mackenzie Chitwood"," 62.39",2019
"40",622,14824,40,"Leanne Collins"," 62.36",2017
"41",805,41793,41,"Mallory Klotz"," 62.05",2017
"42",303,4280,42,"Annemarie Bartow"," 62.03",2016
"43",622,72073,43,"Molly Simpson"," 62.00",2016
"44",622,47412,44,"Abby Mace"," 61.97",2024
"45",44,46226,45,"Jessica Long"," 61.46",2017
"46",809,19387,46,"Sydney Despres"," 61.42",2018
"47",139,1854,47,"Leah Andrews"," 61.15",2018
"48",42,81442,48,"Elaine Walker"," 60.89",2019
"49",745,36525,49,"Cassetty Howerin"," 60.69",2018
"50",218,44576,50,"Morgan Ledbetter"," 60.56",2019
"51",789,24849,51,"Sydney Fleming"," 60.27",2025
"52",18,64494,52,"Jessica Remm"," 60.17",2025
"53",755,51797,53,"Hannah Mehrle"," 59.82",2016
"54",8911,48964,54,"Lexi Martin"," 59.40",2022
"55",139,72018,55,"Scoop Simon"," 59.25",2016
"56",641,33635,56,"Megan Heidelbauer"," 59.15",2025
"57",1179,74480,57,"Darian Stedman"," 58.94",2019
"58",420,67604,58,"Noelle Ruschil"," 58.86",2022
"59",259,1651,59,"Carly Anderson"," 58.68",2018
"60",973,26254,60,"Morgan Frye"," 58.46",2023
"61",321,68698,61,"Jailene Santiago"," 58.35",2023
"62",303,35030,62,"Keani Hindle"," 58.33",2019
"63",789,17187,63,"Lexi Curt"," 58.14",2018
"64",1062,47597,64,"Tristen Maddox"," 57.99",2024
"65",673,19298,65,"Amelia Derosa"," 57.96",2023
"66",28749,85579,66,"Stella Wulker"," 57.83",2023
"67",11036,21406,67,"Morgan Dunn"," 57.65",2016
"68",122,53004,68,"Sarah Miller"," 57.49",2021
"69",30044,71536,69,"Arizona Shreck"," 57.45",2022
"70",22626,29487,70,"Emily Gorecki"," 57.32",2017
"71",1297,33075,71,"Kathryn Hatlen"," 57.24",2019
"72",973,83375,72,"Katie White"," 57.17",2023
"73",973,26254,73,"Morgan Frye"," 56.54",2024
"74",30041,27329,74,"Kierston Garner"," 56.46",2016
"75",597,27852,75,"Jenna George"," 56.39",2017
"76",21830,35224,76,"Hannah Hoban"," 56.31",2019
"77",622,20613,77,"Kim Dorsey"," 56.29",2016
"78",8911,48964,78,"Lexi Martin"," 56.17",2023
"79",200,49681,79,"Brooke Matyasovsky"," 56.08",2022
"80",21830,40784,79,"Mariann Kennison"," 56.08",2019
"81",30197,29430,81,"Allie Gordon"," 55.96",2023
"82",321,68698,82,"Jailene Santiago"," 55.62",2024
"83",1036,62317,83,"Jess Pozezinski"," 55.58",2024
"84",455,36879,84,"Krissy Hughes"," 55.32",2019
"85",1179,58098,85,"Melanie Oord"," 55.31",2018
"86",374,47367,86,"Taylor Mabry"," 55.30",2019
"87",750,25380,87,"Mara Forsyth"," 55.18",2017
"88",1099,65517,87,"Ami Rivera"," 55.18",2023
"89",11036,59108,89,"Arianna Papas"," 55.13",2023
"90",58,63130,90,"Carly Quint"," 55.12",2022
"91",382,45505,91,"Giovanna Liggett"," 55.10",2022
"92",22626,62856,92,"Jill Pulek"," 55.03",2023
"93",22626,73325,92,"Kristen Solari"," 55.03",2016
"94",1454,27659,94,"Sara Gayer"," 54.93",2021
"95",382,78328,95,"Evonne Torres"," 54.90",2019
"96",492,52856,96,"Emily Miller"," 54.88",2018
"97",1062,60351,97,"Jayme Perez"," 54.74",2017
"98",673,20972,98,"Kristen Drobiak"," 54.66",2017
"99",14795,49150,99,"Kaylee Martinez"," 54.62",2016
"100",303,4280,100,"Annemarie Bartow"," 54.51",2018
