"","team_id","player_id","rank","player","xbh","season"
"1",522,10122,1,"Tiare Jennings",52,2021
"2",522,360,2,"Jocelyn Alo",47,2021
"3",522,360,3,"Jocelyn Alo",44,2022
"4",110,19168,4,"Delaney Spaulding",43,2015
"5",402,15954,4,"Erika Piancastelli",43,2018
"6",311,21934,4,"Sami Williams",43,2019
"7",671,17847,7,"Dj Sanders",42,2017
"8",416,6546,7,"Lea Foerster",42,2017
"9",234,18512,7,"Sydney Sherrill",42,2018
"10",1104,6338,7,"Kristin Fifield",42,2023
"11",37,4035,11,"Kasey Cooper",41,2016
"12",234,21319,11,"Jessie Warren",41,2017
"13",191,17619,11,"Linda Rush",41,2019
"14",756,145,14,"Ali Aguilar",40,2015
"15",202,14465,14,"Paige Murphy",40,2018
"16",317,7660,14,"Kate Gordon",40,2019
"17",522,17397,14,"Sydney Romero",40,2019
"18",782,1025,14,"Addison Barnard",40,2022
"19",414,19148,14,"Karli Spaid",40,2022
"20",363,937,20,"Megan Baltzell",39,2015
"21",254,5412,20,"Ivie Drake",39,2015
"22",365,1330,20,"Bianka Bell",39,2015
"23",1356,3249,20,"Madison Cathcart",39,2018
"24",257,5118,20,"Alyssa Dicarlo",39,2019
"25",29,15418,20,"Alyssa Palomino",39,2019
"26",311,21934,20,"Sami Williams",39,2021
"27",756,10999,20,"Baylee Klingler",39,2022
"28",458,20787,20,"Bailey Vannoy",39,2022
"29",367,7858,20,"Carmyn Greenwood",39,2022
"30",522,3336,30,"Lauren Chamberlain",38,2015
"31",522,15719,30,"Shelby Pendley",38,2015
"32",402,15954,30,"Erika Piancastelli",38,2015
"33",148,22194,30,"Cynthia Woodard",38,2015
"34",402,15954,30,"Erika Piancastelli",38,2016
"35",703,19391,30,"Lindsey Stephens",38,2016
"36",464,21325,30,"Nicole Warren",38,2016
"37",700,8589,30,"Jessica Hartwell",38,2018
"38",29,8460,30,"Jessie Harper",38,2019
"39",694,13873,30,"Kiki Milloy",38,2023
"40",671,5807,40,"Lexie Elkins",37,2015
"41",650,13915,40,"Yvon Minogue",37,2015
"42",459,20097,40,"Lindsay Thomas",37,2016
"43",522,360,40,"Jocelyn Alo",37,2018
"44",257,5118,40,"Alyssa Dicarlo",37,2018
"45",115,13148,40,"Rachel Mccollum",37,2018
"46",229,12078,40,"Emily Lochten",37,2018
"47",504,2552,40,"Sammey Bunch",37,2021
"48",302,21494,40,"Kayla Wedl",37,2021
"49",129,19370,40,"Shannon Stein",37,2022
"50",306,10771,40,"Taryn Kern",37,2023
"51",587,1157,51,"Jackie Bates",36,2015
"52",257,9685,51,"Alex Hugo",36,2015
"53",10411,17191,51,"Shellie Robinson",36,2015
"54",37,3023,51,"Emily Carosone",36,2015
"55",671,11471,51,"Shellie Landry",36,2015
"56",418,3536,51,"Kelly Christner",36,2015
"57",493,7006,51,"Cheyenne Garcia",36,2015
"58",756,145,51,"Ali Aguilar",36,2016
"59",299,4818,51,"Jordan De los reyes",36,2017
"60",472,9485,51,"Kelsey Horton",36,2018
"61",234,21319,51,"Jessie Warren",36,2018
"62",711,13748,51,"Brook Miko",36,2018
"63",796,11120,51,"Kayla Konwent",36,2019
"64",101,19420,51,"Megan Stevens",36,2019
"65",522,3696,51,"Caleigh Clifton",36,2019
"66",191,5177,51,"Kristi Dimeo",36,2019
"67",439,1064,51,"Lindsey Baron",36,2019
"68",458,20787,51,"Bailey Vannoy",36,2021
"69",454,2136,51,"Logan Braundmeier",36,2022
"70",418,17396,70,"Sierra Romero",35,2015
"71",294,6890,70,"Vicky Galasso",35,2015
"72",648,15374,70,"Alaynie Page",35,2015
"73",626,1186,70,"Lorena Bauer",35,2015
"74",110,11557,70,"Stephany Larosa",35,2015
"75",428,12445,70,"Sam Macken",35,2016
"76",694,7870,70,"Meghan Gregg",35,2017
"77",110,19168,70,"Delaney Spaulding",35,2017
"78",1092,16254,70,"Katie Prebble",35,2018
"79",518,16029,70,"Lilli Piper",35,2018
"80",101,9489,70,"Savannah Horvath",35,2018
"81",355,1623,70,"Autumn Bishop",35,2018
"82",8,8848,70,"Bailey Hemphill",35,2019
"83",28,8164,70,"Kindra Hackbarth",35,2019
"84",428,4983,70,"Natalie Denhartog",35,2019
"85",521,6210,70,"Alysen Febrey",35,2021
"86",28,17846,70,"Cydney Sanders",35,2022
"87",522,10122,70,"Tiare Jennings",35,2022
"88",110,15754,70,"Briana Perez",35,2022
"89",147,2761,70,"Valerie Cagle",35,2023
"90",522,2234,70,"Alyssa Brito",35,2023
"91",234,8411,70,"Kalei Harding",35,2023
"92",8,17611,92,"Marisa Runyon",34,2015
"93",650,10414,92,"Matley Jones",34,2015
"94",257,9872,92,"Tina Iosefa",34,2016
"95",522,13804,92,"Erin Miller",34,2016
"96",14,19026,92,"Elizabeth Snow",34,2017
"97",457,12386,92,"Kendra Lynch",34,2017
"98",301,6079,92,"Nicole Evans",34,2017
"99",441,3782,92,"Delene Colburn",34,2017
"100",2,8789,92,"Peyton Hedrick",34,2017
"101",48,6972,92,"Jade Gandara",34,2017
"102",235,12208,92,"Amanda Lorenz",34,2018
"103",191,5177,92,"Kristi Dimeo",34,2018
"104",509,11910,92,"Rachel Lewis",34,2018
"105",317,7660,92,"Kate Gordon",34,2018
"106",711,18240,92,"Kendyl Scott",34,2018
"107",29,8460,92,"Jessie Harper",34,2018
"108",355,1621,92,"Amber Bishop",34,2018
"109",654,491,92,"Rachel Anderson",34,2019
"110",430,4664,92,"Mia Davidson",34,2019
"111",249,3917,92,"Jenna Cone",34,2019
"112",31,2638,92,"Braxton Burnside",34,2021
"113",709,4987,92,"Dayna Denner",34,2021
"114",77,10137,92,"Rylee Jensen",34,2021
"115",355,1623,92,"Autumn Bishop",34,2021
"116",28,71,92,"Yannira Acuna",34,2022
"117",77,22521,92,"Violet Zavodnik",34,2022
"118",31,7289,92,"Danielle Gibson",34,2022
"119",539,11312,92,"Ally Kurland",34,2022
"120",235,21206,92,"Skylar Wallace",34,2023
