"","team_id","player_id","rank","player","fip","season"
"1",235,4031,1,"Kelly Barnhill",-0.244,2017
"2",14927,39007,2,"Maya Johnson",-0.072,2025
"3",674,11319,3,"Nijaree Canady",0,2023
"4",189,56343,4,"Nicole Newman",0.121,2019
"5",391,15550,5,"Courtney Coppersmith",0.171,2022
"6",391,49603,6,"Kya Matter",0.325,2022
"7",189,56343,7,"Nicole Newman",0.426,2018
"8",235,29637,8,"Delanie Gourley",0.477,2017
"9",418,75242,9,"Alex Storako",0.48,2021
"10",651,15787,10,"Georgina Corrick",0.527,2022
"11",428,30583,11,"Sara Groenewegen",0.538,2017
"12",522,3158,12,"Jordyn Bahl",0.597,2022
"13",8,25535,13,"Montana Fouts",0.625,2021
"14",497,78557,14,"Hope Trautwein",0.663,2021
"15",674,11319,15,"Nijaree Canady",0.689,2024
"16",651,15787,16,"Georgina Corrick",0.71,2021
"17",234,10317,17,"Jessica Burroughs",0.772,2017
"18",529,22339,18,"Miranda Elish",0.781,2018
"19",257,29942,19,"Brittany Gray",0.791,2018
"20",504,34603,20,"Samantha Heyer",0.911,2023
"21",522,46433,21,"Mariah Lopez",0.931,2019
"22",529,41677,22,"Megan Kleist",0.938,2018
"23",2678,369,23,"Kayla Adams",0.943,2024
"24",414,80709,24,"Courtney Vierstra",0.982,2019
"25",391,15550,25,"Courtney Coppersmith",0.996,2021
"26",454,38109,26,"Hannah James",0.999,2022
"27",756,61582,27,"Gabbie Plain",1.047,2021
"28",521,49765,28,"Kelly Maxwell",1.048,2022
"29",454,38109,29,"Hannah James",1.055,2023
"30",96,20333,30,"Hailey Dolcini",1.058,2021
"31",8,25535,31,"Montana Fouts",1.061,2022
"32",700,11319,31,"NiJaree Canady",1.061,2025
"33",43,63227,33,"Morgan Rackel",1.082,2018
"34",756,1411,33,"Taran Alvelo",1.082,2019
"35",694,61152,35,"Karlyn Pickens",1.093,2025
"36",418,4759,36,"Meghan Beaubien",1.109,2021
"37",464,52429,37,"Kamryn Meyer",1.111,2023
"38",30136,83172,38,"Amanda Weyh",1.118,2022
"39",683,6941,39,"Dawn Bodrug",1.121,2022
"40",110,23592,40,"Megan Faraimo",1.127,2021
"41",110,27172,41,"Rachel Garcia",1.138,2018
"42",670,67586,41,"Randi Rupp",1.138,2017
"43",8,25535,43,"Montana Fouts",1.141,2023
"44",464,30589,44,"Maddia Groff",1.154,2025
"45",522,39629,45,"Giselle Juarez",1.162,2019
"46",299,18275,46,"Morgan Day",1.169,2021
"47",671,22508,47,"Summer Ellyson",1.173,2019
"48",416,52801,48,"Ashley Miller",1.174,2022
"49",519,20620,49,"Savannah jo Dorsey",1.187,2017
"50",756,1411,50,"Taran Alvelo",1.188,2018
"51",28755,63673,51,"Riley Randolph",1.203,2019
"52",244,5776,52,"Lindsey Bert",1.204,2018
"53",317,29284,53,"Megan Good",1.212,2017
"54",2711,14077,53,"Morgan Clausen",1.212,2022
"55",147,10803,55,"Valerie Cagle",1.228,2021
"56",108,85739,56,"Brooke Yanez",1.229,2019
"57",28,9172,57,"Kenzie Brown",1.263,2025
"58",349,5429,58,"Laura Bennett",1.272,2022
"59",386,61098,59,"Calista Phippen",1.282,2019
"60",110,27172,60,"Rachel Garcia",1.286,2019
"61",317,980,61,"Odicci Alexander",1.292,2021
"62",626,3500,62,"Maggie Balint",1.297,2022
"63",620,1783,63,"Kierstin Anderson-glass",1.306,2021
"64",428,59932,64,"Autumn Pease",1.315,2023
"65",14927,39007,65,"Maya Johnson",1.317,2023
"66",222,71555,66,"Brooklyn Shroyer",1.324,2024
"67",180,40895,67,"Billie Kerwood",1.333,2025
"68",418,4759,68,"Meghan Beaubien",1.336,2018
"69",522,3158,69,"Jordyn Bahl",1.343,2023
"70",68,64888,70,"Kasey Ricard",1.344,2024
"71",688,66715,71,"Alexa Romero",1.35,2018
"72",129,41841,72,"Rachel Knapp",1.354,2017
"73",756,61582,73,"Gabbie Plain",1.359,2019
"74",487,27421,74,"Megan Garst",1.367,2019
"75",742,66090,75,"Keely Rochard",1.373,2022
"76",428,24549,76,"Amber Fiser",1.384,2019
"77",414,80709,77,"Courtney Vierstra",1.391,2021
"78",661,45093,78,"Jennifer Leonhardt",1.399,2019
"79",14927,39007,79,"Maya Johnson",1.4,2024
"80",219,25016,80,"Morgan Florey",1.401,2018
"81",418,5896,81,"Megan Betsa",1.406,2017
"82",493,70617,82,"Jacquelyn Sertic",1.409,2018
"83",110,27172,83,"Rachel Garcia",1.424,2021
"84",624,51291,84,"Lindsey Mcleod",1.429,2019
"85",349,5429,85,"Laura Bennett",1.436,2023
"86",11504,16034,86,"Autumn Courtney",1.452,2024
"87",459,9554,87,"Stephanie Bryden",1.453,2018
"88",234,41339,88,"Meghan King",1.463,2019
"89",489,53249,89,"Courtney Mirabella",1.468,2018
"90",659,30589,90,"Maddia Groff",1.469,2024
"91",694,61152,91,"Karlyn Pickens",1.488,2024
"92",110,23592,91,"Megan Faraimo",1.488,2019
"93",28,39629,93,"Giselle Juarez",1.491,2018
"94",671,43443,94,"Kandra Lamb",1.502,2022
"95",649,41879,94,"Tori Kniesche",1.502,2022
"96",37,60226,96,"Maddie Penta",1.509,2023
"97",670,67586,96,"Randi Rupp",1.509,2018
"98",90,37405,98,"Sierra Hyland",1.514,2017
"99",742,44939,99,"Emma Lemley",1.525,2022
"100",1004,4788,99,"Kayla Beaver",1.525,2023
