"","team_id","player_id","rank","player","whip","season"
"1",651,15787,1,"Georgina Corrick",0.614,2022
"2",391,15550,2,"Courtney Coppersmith",0.616,2022
"3",110,23592,3,"Megan Faraimo",0.629,2021
"4",14927,39007,4,"Maya Johnson",0.65,2025
"5",235,4031,5,"Kelly Barnhill",0.66,2017
"6",189,56343,6,"Nicole Newman",0.688,2019
"7",317,29284,7,"Megan Good",0.696,2017
"8",428,30583,8,"Sara Groenewegen",0.698,2017
"9",235,29637,9,"Delanie Gourley",0.721,2017
"10",522,39629,10,"Giselle Juarez",0.732,2019
"11",674,11319,11,"Nijaree Canady",0.753,2023
"12",68,64888,12,"Kasey Ricard",0.754,2024
"13",391,15550,13,"Courtney Coppersmith",0.755,2021
"14",391,49603,14,"Kya Matter",0.762,2022
"15",257,29942,15,"Brittany Gray",0.765,2018
"16",189,56343,16,"Nicole Newman",0.767,2018
"17",620,1783,17,"Kierstin Anderson-glass",0.773,2019
"18",529,41677,18,"Megan Kleist",0.776,2018
"19",8,25535,18,"Montana Fouts",0.776,2023
"20",454,38109,20,"Hannah James",0.779,2022
"21",694,66480,21,"Ashley Rogers",0.79,2021
"22",674,11319,22,"Nijaree Canady",0.793,2024
"23",234,32196,23,"Kylee Hanson",0.797,2018
"24",418,75242,24,"Alex Storako",0.798,2021
"25",671,22508,25,"Summer Ellyson",0.799,2019
"26",234,10317,26,"Jessica Burroughs",0.801,2017
"27",522,3158,26,"Jordyn Bahl",0.801,2022
"28",317,980,26,"Odicci Alexander",0.801,2021
"29",418,4759,29,"Meghan Beaubien",0.803,2018
"30",694,66480,30,"Ashley Rogers",0.805,2023
"31",235,4031,31,"Kelly Barnhill",0.806,2018
"32",522,59296,31,"Paige Parker",0.806,2018
"33",193,17107,33,"Cassidy Curd",0.807,2024
"34",659,30589,34,"Maddia Groff",0.81,2024
"35",756,61582,35,"Gabbie Plain",0.82,2019
"36",487,27421,36,"Megan Garst",0.823,2019
"37",756,1411,37,"Taran Alvelo",0.828,2018
"38",522,46433,38,"Mariah Lopez",0.832,2019
"39",28,39629,39,"Giselle Juarez",0.833,2018
"40",529,22339,39,"Miranda Elish",0.833,2018
"41",521,41088,41,"Lexi Kilfoyl",0.834,2024
"42",539,59420,42,"Bailey Parshall",0.838,2023
"43",235,57613,43,"Aleshia Ocasio",0.84,2018
"44",454,38109,44,"Hannah James",0.847,2023
"45",700,11319,44,"NiJaree Canady",0.847,2025
"46",110,23592,46,"Megan Faraimo",0.848,2019
"47",651,15787,47,"Georgina Corrick",0.854,2021
"48",624,51291,48,"Lindsey Mcleod",0.855,2019
"49",234,68475,49,"Kathryn Sandercock",0.858,2023
"50",96,20333,50,"Hailey Dolcini",0.861,2021
"51",522,49795,51,"Nicole May",0.872,2023
"52",487,83855,52,"Alivia Wilken",0.873,2024
"53",428,59932,52,"Autumn Pease",0.873,2023
"54",10411,6095,52,"Christina Biggerstaff",0.873,2019
"55",31,31369,55,"Mary Haff",0.874,2018
"56",519,20620,55,"Savannah jo Dorsey",0.874,2017
"57",110,27172,57,"Rachel Garcia",0.877,2018
"58",694,61152,58,"Karlyn Pickens",0.88,2024
"59",37,60226,59,"Maddie Penta",0.881,2023
"60",365,81637,60,"Allie Walljasper",0.882,2018
"61",756,61582,60,"Gabbie Plain",0.882,2021
"62",234,68475,60,"Kathryn Sandercock",0.882,2021
"63",110,23592,60,"Megan Faraimo",0.882,2023
"64",147,10803,60,"Valerie Cagle",0.882,2023
"65",464,30589,65,"Maddia Groff",0.886,2025
"66",244,5776,66,"Lindsey Bert",0.889,2018
"67",30136,83172,67,"Amanda Weyh",0.891,2022
"68",509,84048,68,"Danielle Williams",0.893,2019
"69",756,61582,68,"Gabbie Plain",0.893,2018
"70",110,27172,68,"Rachel Garcia",0.893,2019
"71",742,66090,71,"Keely Rochard",0.894,2021
"72",522,39629,72,"Giselle Juarez",0.896,2021
"73",202,67764,73,"Maddi Rutan",0.897,2024
"74",90,37405,73,"Sierra Hyland",0.897,2017
"75",459,9554,73,"Stephanie Bryden",0.897,2018
"76",688,66715,76,"Alexa Romero",0.899,2018
"77",600,80571,77,"Grace Vesco",0.9,2021
"78",299,18275,78,"Morgan Day",0.901,2021
"79",29,57534,79,"Danielle O'toole",0.905,2017
"80",2678,369,79,"Kayla Adams",0.905,2024
"81",670,67586,81,"Randi Rupp",0.909,2018
"82",522,46693,82,"Paige Lowary",0.91,2017
"83",234,68475,83,"Kathryn Sandercock",0.911,2022
"84",522,3158,84,"Jordyn Bahl",0.916,2023
"85",719,82235,85,"Emily Watson",0.919,2017
"86",110,77969,85,"Taylor Tinsley",0.919,2025
"87",439,37678,87,"Alyssa Irons",0.921,2019
"88",414,80709,88,"Courtney Vierstra",0.926,2021
"89",110,23592,89,"Megan Faraimo",0.928,2022
"90",30135,74030,90,"Kellye Springstead",0.93,2017
"91",235,4031,91,"Kelly Barnhill",0.931,2019
"92",522,59296,92,"Paige Parker",0.932,2017
"93",71,29606,93,"Payton Gottshall",0.938,2022
"94",694,29606,94,"Payton Gottshall",0.941,2024
"95",646,43227,95,"Olivia Lackie",0.943,2024
"96",288,33588,95,"Savannah Heebner",0.943,2018
"97",504,34603,97,"Samantha Heyer",0.945,2023
"98",8,25535,98,"Montana Fouts",0.946,2021
"99",229,9679,98,"Tatum Buckley",0.946,2018
"100",683,6941,100,"Dawn Bodrug",0.948,2021
