"","team_id","player_id","rank","player","slg","season"
"1",522,1235,1,"Jocelyn Alo","1.227",2022
"2",671,21608,2,"Lexie Elkins","1.124",2016
"3",522,1235,3,"Jocelyn Alo","1.109",2021
"4",199,36829,4,"Mariah Jameyson","1.100",2018
"5",414,71023,5,"Karli Spaid","1.056",2024
"6",782,3795,6,"Addison Barnard","1.036",2022
"7",331,71135,7,"Holly Speers","1.033",2018
"8",671,66058,8,"Dj Sanders","1.012",2017
"9",402,58930,9,"Erika Piancastelli","1.000",2016
"10",504,9587,9,"Sammey Bunch","1.000",2021
"11",522,37178,9,"Tiare Jennings","1.000",2021
"12",661,34100,9,"Haley Hodges","1.000",2016
"13",334,13962,13,"Erin Coffel","0.984",2023
"14",235,78690,14,"Skylar Wallace","0.980",2023
"15",400,15725,15,"Jena Cozza","0.978",2018
"16",522,1235,16,"Jocelyn Alo","0.977",2018
"17",10411,55490,16,"Alyssa Oakes","0.977",2019
"18",782,3795,18,"Addison Barnard","0.973",2024
"19",52,24571,19,"Ally Foster","0.963",2016
"20",1092,60174,19,"Katie Prebble","0.963",2018
"21",28,66054,21,"Cydney Sanders","0.958",2022
"22",14,70585,22,"Elizabeth Snow","0.957",2017
"23",191,65207,22,"Linda Rush","0.957",2021
"24",697,43085,24,"Haley Lee","0.955",2021
"25",1356,12202,25,"Madison Cathcart","0.954",2018
"26",756,40295,26,"Baylee Klingler","0.948",2022
"27",306,39432,27,"Taryn Kern","0.942",2023
"28",47,75154,28,"Mckayla Timmons","0.938",2024
"29",694,51179,29,"Kiki Milloy","0.935",2023
"30",414,71023,30,"Karli Spaid","0.931",2022
"31",14,70585,31,"Elizabeth Snow","0.929",2016
"32",739,61567,32,"Paige Rauch","0.928",2019
"33",428,55499,33,"Jess Oakland","0.925",2024
"34",234,79095,34,"Jessie Warren","0.922",2017
"35",28,30245,35,"Maddi Hackbarth","0.913",2021
"36",414,27955,35,"Jenna Golembiewski","0.913",2024
"37",590,28139,35,"Alyssa Gonzalez","0.913",2021
"38",428,43996,38,"Kendyl Lindaman","0.911",2017
"39",472,34998,38,"Kelsey Horton","0.911",2018
"40",334,12858,40,"Abbey Cheek","0.905",2019
"41",202,53390,41,"Paige Murphy","0.903",2018
"42",311,81204,42,"Sami Williams","0.902",2021
"43",77,83306,43,"Violet Zavodnik","0.900",2022
"44",522,37178,43,"Tiare Jennings","0.900",2022
"45",257,19005,45,"Alyssa Dicarlo","0.899",2019
"46",402,58930,45,"Erika Piancastelli","0.899",2018
"47",504,19567,45,"Mya Dodge","0.899",2023
"48",700,31748,48,"Jessica Hartwell","0.897",2018
"49",6,66107,49,"Venice Sanders","0.895",2023
"50",503,53637,50,"Emily Naegele","0.894",2016
"51",703,2610,50,"Reese Atwood","0.894",2024
"52",522,31056,52,"Kinzie Hansen","0.893",2021
"53",31,9960,53,"Braxton Burnside","0.892",2021
"54",414,16472,53,"Allie Cummins","0.892",2021
"55",101,72158,55,"Megan Stevens","0.889",2019
"56",317,28440,55,"Kate Gordon","0.889",2019
"57",414,71023,55,"Karli Spaid","0.889",2021
"58",545,83403,58,"Giorgiana Zeremenko","0.888",2016
"59",147,10465,59,"Valerie Cagle","0.887",2023
"60",388,56503,59,"Autumn Owen","0.887",2023
"61",199,36829,61,"Mariah Jameyson","0.884",2017
"62",418,64370,62,"Sierra Romero","0.883",2016
"63",430,17297,63,"Mia Davidson","0.882",2019
"64",249,14559,64,"Jenna Cone","0.880",2021
"65",522,45643,64,"Grace Lyons","0.880",2022
"66",191,65207,66,"Linda Rush","0.878",2019
"67",368,11945,67,"Courtney Cashman","0.876",2019
"68",518,59261,67,"Lilli Piper","0.876",2018
"69",796,40793,67,"Kayla Konwent","0.876",2019
"70",473,35158,70,"Andrea Howard","0.875",2022
"71",522,13770,70,"Caleigh Clifton","0.875",2019
"72",148,49644,72,"Erica Mcnew","0.874",2016
"73",37,14975,73,"Kasey Cooper","0.872",2016
"74",317,28440,73,"Kate Gordon","0.872",2021
"75",31,46358,75,"Linnie Malkin","0.870",2022
"76",110,56791,75,"Sharlize Palacios","0.870",2024
"77",671,15792,77,"Aleah Craighton","0.869",2016
"78",742,49531,77,"Cori Mcmillan","0.869",2024
"79",472,71101,79,"Desirae Spearman","0.868",2024
"80",513,8636,79,"Cait Brooks","0.868",2019
"81",782,82032,79,"Cc Wong","0.868",2024
"82",1395,11091,82,"Georgia Capell","0.867",2019
"83",110,7881,83,"Maya Brady","0.866",2023
"84",29,53051,84,"Dejah Mulipola","0.865",2021
"85",254,20161,85,"Ivie Drake","0.862",2018
"86",115,66961,86,"Amber Schisler","0.861",2017
"87",257,9182,87,"Ciara Bryan","0.860",2020
"88",450,32547,87,"Rachel Heinze","0.860",2017
"89",587,70366,89,"Morgan Smith","0.858",2024
"90",28,262,90,"Yannira Acuna","0.857",2022
"91",414,40555,91,"Kate Kobayashi","0.855",2024
"92",66,30538,92,"Kelsey Hall","0.854",2023
"93",458,77202,92,"Bailey Vannoy","0.854",2022
"94",31,27164,94,"Danielle Gibson","0.852",2022
"95",688,55348,94,"Sydney O'hara","0.852",2017
"96",450,32547,96,"Rachel Heinze","0.851",2016
"97",1157,12200,96,"Taylor Cates","0.851",2022
"98",191,65207,98,"Linda Rush","0.850",2017
"99",257,19005,98,"Alyssa Dicarlo","0.850",2018
"100",487,13457,100,"Brooklynn Clark","0.848",2016
"101",1320,33340,100,"Morgan Hess","0.848",2022
