Team,Conf,Total,Team ID
Oregon,20-4-0,51-8-0,529
UCLA,20-6-0,52-9-0,110
Ohio St.,17-7-0,45-14-1,518
Northwestern,16-7-0,30-20-1,509
Nebraska,18-8-0,42-13-0,463
Iowa,16-8-0,35-17-0,312
Michigan,15-11-0,39-21-0,418
Washington,11-10-0,34-19-0,756
Wisconsin,11-11-0,33-20-0,796
Indiana,11-13-0,34-20-0,306
Penn St.,11-13-0,25-27-0,539
Purdue,10-14-0,29-23-0,559
Illinois,6-16-0,22-27-0,301
Michigan St.,6-16-0,16-29-0,416
Minnesota,5-17-0,20-30-0,428
Maryland,3-19-0,18-31-0,392
Rutgers,3-19-0,20-36-0,587
