"","team_id","player_id","rank","player","k_bb"
"1",391,44792,1,"Kya Matter","8.4"
"2",651,14352,2,"Georgina Corrick","7.9"
"3",454,34470,3,"Hannah James","7.3"
"4",391,14136,4,"Courtney Coppersmith","7.3"
"5",1356,50288,5,"Carley Nance","6.7"
"6",110,21386,6,"Megan Faraimo","6.1"
"7",349,4919,7,"Laura Bennett","6.1"
"8",454,72475,8,"Jenna Veber","6.1"
"9",30136,75050,9,"Amanda Weyh","5.5"
"10",625,50822,10,"McKenzie Newcomb","5.3"
"11",116,25527,11,"Megan Giese","5.1"
"12",522,2870,12,"Jordyn Bahl","5.0"
"13",626,3182,13,"Maggie Balint","4.9"
"14",301,46513,14,"Tori McQueen","4.8"
"15",683,6301,15,"Dawn Bodrug","4.8"
"16",71,26799,16,"Payton Gottshall","4.7"
"17",8,23135,17,"Montana Fouts","4.7"
"18",742,59675,18,"Keely Rochard","4.6"
"19",147,70072,19,"Millie Thompson","4.5"
"20",539,53658,20,"Bailey Parshall","4.5"
"21",669,17874,21,"Steffany Dickerson","4.4"
"22",285,50630,22,"Kelly Nelson","4.4"
"23",742,40607,23,"Emma Lemley","4.3"
"24",77,69498,25,"Chloe Temples","4.3"
"25",14927,68513,25,"Emma Summers","4.3"
"26",646,29237,26,"Jenna Hardy","4.2"
"27",87,58814,27,"Karli Ricketts","4.1"
"28",37,54389,28,"Maddie Penta","4.1"
"29",739,57651,29,"Paige Rauch","4.1"
"30",671,62957,30,"Meghan Schorman","4.1"
"31",414,56333,31,"Brianna Pratt","4.0"
"32",111,31480,32,"Chrys Hildebrand","4.0"
"33",301,64690,33,"Sydney Sickels","4.0"
"34",352,51372,34,"Gabriella Nori","4.0"
"35",732,61902,35,"Sydney Sandez","4.0"
"36",112,11572,36,"Jada Cecil","4.0"
"37",682,7465,37,"Skylar Brandemarte","3.9"
"38",418,67928,38,"Alex Storako","3.9"
"39",234,61835,39,"Kathryn Sandercock","3.9"
"40",774,24272,40,"Reily Galloway","3.9"
"41",10411,32863,41,"Hannah Houge","3.8"
"42",31,17070,42,"Chenise Delce","3.8"
"43",514,10218,43,"Sydney Campbell","3.8"
"44",521,44938,44,"Kelly Maxwell","3.8"
"45",2711,12794,45,"Morgan Clausen","3.7"
"46",10411,36616,46,"Alyssa Kelly","3.7"
"47",671,39270,47,"Kandra Lamb","3.7"
"48",115,65712,48,"Isabella Smith","3.7"
"49",528,45091,49,"Mariah Mazon","3.7"
"50",505,31377,50,"Lauryn Hicks","3.7"
"51",199,40225,51,"Alyssa LeBlanc","3.6"
"52",416,47658,52,"Ashley Miller","3.6"
"53",31,28390,53,"Mary Haff","3.6"
"54",485,59500,54,"Alexis Robinson","3.6"
"55",110,2658,55,"Holly Azevedo","3.6"
"56",670,49729,56,"Jessica Mullins","3.6"
"57",147,9818,57,"Valerie Cagle","3.6"
"58",446,33579,58,"Anaya Hunte","3.5"
"59",646,39071,59,"Olivia Lackie","3.5"
"60",388,50728,60,"Sydney Nester","3.5"
"61",459,63336,61,"Morgan Scott","3.5"
"62",497,54768,62,"Ashley Peters","3.4"
"63",48,35877,63,"Annah Junge","3.4"
"64",772,51630,64,"Shelby Nunn","3.4"
"65",528,28382,65,"Sarah Haendiges","3.4"
"66",108,8335,66,"Kenedi Brown","3.4"
"67",771,10621,67,"Abby Carlin","3.3"
"68",164,66199,68,"Elise Sokolsky","3.3"
"69",51,5610,69,"Aliyah Binford","3.3"
"70",756,55614,70,"Gabbie Plain","3.2"
"71",661,50869,71,"Josie Newman","3.1"
"72",371,54406,72,"Peyton Pepkowski","3.1"
"73",654,60328,73,"Rachel Rook","3.1"
"74",487,5668,74,"Maci Birdyshaw","3.0"
"75",249,39543,75,"Sierra Lange","3.0"
"76",68,2555,76,"Lizzy Avery","3.0"
"77",518,28959,77,"Lexie Handley","3.0"
"78",1320,31230,78,"Morgan Hess","3.0"
"79",434,38615,79,"Laurin Krings","2.9"
"80",493,72309,80,"Paige Vargas","2.9"
"81",504,53036,81,"Kailyn Packard","2.9"
"82",2707,32926,82,"Mia Hoveland","2.9"
"83",458,73668,83,"Lindsey Walljasper","2.9"
"84",556,27575,84,"Tori Grifone","2.9"
"85",115,3472,85,"Georgeanna Barefoot","2.9"
"86",61,26326,86,"Halyne Gonzales","2.9"
"87",148,32497,87,"Melissa HOLZOPFEL","2.9"
"88",464,47330,88,"Kamryn Meyer","2.8"
"89",28,41950,89,"Lindsay Lopez","2.8"
"90",1004,35180,90,"Jordan Johnson","2.8"
"91",102,5263,91,"Marissa Bertuccio","2.8"
"92",674,72452,92,"Alana Vawter","2.8"
"93",529,29100,93,"Stevie Hansen","2.8"
"94",460,76444,94,"Emily Winstead","2.8"
"95",368,75293,95,"Ryley White","2.8"
"96",649,37856,96,"Tori Kniesche","2.7"
"97",465,7737,97,"Jenny Bressler","2.7"
"98",222,62319,98,"Alayna Savaglio","2.7"
"99",509,75845,99,"Danielle Williams","2.7"
"100",331,40215,100,"Jessica LeBeau","2.6"
