"","team_id","player_id","rank","player","k_7"
"1",790,59624,1,"Liz Pautz","11.9"
"2",74,9914,2,"Katie Burawski","11.4"
"3",1438,1496,3,"Makenzie Amend","11.2"
"4",1170,63215,4,"Lauren Rakes","11.1"
"5",3,34537,5,"Lindsey Hibbs","11.0"
"6",13028,49647,6,"Laken Maxwell","10.6"
"7",30202,39245,7,"Kayleigh Jones","10.3"
"8",1098,8415,8,"Holly Brehm","10.2"
"9",95,43872,9,"Brooke Larsen","10.0"
"10",383,81679,10,"Mackenzie Ward","10.0"
"11",30220,2750,11,"Paige Austin"," 9.8"
"12",1266,1733,12,"Meghan Anderson"," 9.7"
"13",197,86131,13,"Katie Zaun"," 9.7"
"14",1348,18873,14,"Carissa Della vecchia"," 9.7"
"15",427,20106,15,"Lauren Dixon"," 9.3"
"16",309,72682,16,"Kenzee Smith"," 9.0"
"17",1057,5899,17,"Kristina Bettis"," 9.0"
"18",130,44290,18,"Kyleigh Lay"," 8.9"
"19",2814,28428,19,"Jaycee Ginter"," 8.9"
"20",30180,54014,20,"Andrea Morales"," 8.8"
"21",510,25686,21,"Shayna Frank"," 8.7"
"22",734,64845,22,"Samantha Richards"," 8.7"
"23",643,1699,23,"Kelsi Anderson"," 8.7"
"24",30058,12915,24,"Bre'zhay Chambers"," 8.6"
"25",533,27006,25,"Gisselle Garcia"," 8.6"
"26",1072,37477,26,"Kaley Ingle"," 8.5"
"27",1438,59414,27,"Annie Paterson"," 8.4"
"28",30221,54830,28,"Ellie Muilenburg"," 8.4"
"29",591,19188,29,"Emily Depew"," 8.4"
"30",280,67511,30,"Joni Russell"," 8.3"
"31",1245,41032,31,"Hannah Killough"," 8.2"
"32",13302,62110,32,"Megan Powell"," 8.2"
"33",2746,31816,33,"Grace Hammer"," 8.2"
"34",11276,60909,34,"Lakyn Phillips"," 8.2"
"35",1126,64323,35,"Ashley Remington"," 8.1"
"36",30177,79489,36,"Maxine Valdez"," 8.1"
"37",30063,67680,37,"Morgan Ryan"," 8.1"
"38",30028,28768,38,"Tatum Goff"," 8.1"
"39",1079,19014,39,"Megan Demler"," 8.0"
"40",206,44672,40,"Brook Leger"," 8.0"
"41",636,48513,41,"Syhia Marks"," 8.0"
"42",1176,26133,42,"Emma Frost"," 7.9"
"43",984,26779,43,"Taylor Galyean"," 7.9"
"44",1274,7345,44,"Sidney Booth"," 7.9"
"45",767,80859,45,"Heidi Vortherms"," 7.8"
"46",8965,32572,46,"Taia Harris"," 7.8"
"47",1376,81702,47,"Sydney Ward"," 7.7"
"48",30202,85777,48,"Aspen Younce"," 7.7"
"49",159,15540,49,"Hannah rose Corbin"," 7.7"
"50",1328,56146,50,"Anna Newcomer"," 7.7"
"51",41,22346,51,"Amber Elliott"," 7.6"
"52",1334,44368,52,"Mckenna Leamon"," 7.6"
"53",436,68959,53,"Annie Scaramuzzi"," 7.5"
"54",262,4745,54,"Hannah Beatus"," 7.5"
"55",1371,81505,55,"Amberlyn Walsworth"," 7.4"
"56",9013,63094,56,"Sydney Rader"," 7.4"
"57",1462,39737,57,"Sydney Kale"," 7.3"
"58",65,73432,58,"Callie Sowers"," 7.2"
"59",12830,68636,59,"Emily Sappington"," 7.2"
"60",507,19678,60,"Breck Dickey"," 7.2"
"61",11416,49618,61,"Shea Mauser"," 7.0"
"62",598,39596,62,"Trinity Junker"," 7.0"
"63",30051,78957,63,"Carly Turner"," 7.0"
"64",11740,75969,64,"Kelsey Sweatt"," 7.0"
"65",1314,32611,65,"Hannah Harrison"," 7.0"
"66",30058,77264,66,"Shaniya Thomas"," 6.9"
"67",1343,45113,67,"Chloe Leverington"," 6.9"
"68",30138,62821,68,"Ellie Quaethem"," 6.9"
"69",9011,22118,69,"Savanah Egger"," 6.8"
"70",1013,4466,70,"Danielle Bauer"," 6.8"
"71",30193,22060,71,"Maddie Edwards"," 6.8"
"72",9630,57380,72,"Abigail O'shields"," 6.8"
"73",9630,36619,73,"Hannah Hudson"," 6.8"
"74",1174,83149,74,"Haley White"," 6.7"
"75",30090,72550,75,"Darrian Smith"," 6.7"
"76",568,32393,76,"Kylie Harpman"," 6.7"
"77",658,60466,77,"Jessica Perucki"," 6.6"
"78",1376,61588,78,"Kiana Pogroszewski"," 6.6"
"79",1460,30956,79,"Kylee Gunkle"," 6.6"
"80",9081,57839,80,"Bryanna Olson"," 6.5"
"81",658,49019,81,"Jazmyn Martinez"," 6.5"
"82",95,57675,82,"Katelyn Oldwin"," 6.5"
"83",3,25118,83,"Claire Fon"," 6.5"
"84",1403,23876,84,"Claire Feldkamp"," 6.5"
"85",70,9724,85,"Evelyn Buehlman"," 6.4"
"86",1222,11091,86,"Kennedy Cameron"," 6.4"
"87",9754,16443,87,"Braelyne Crenshaw"," 6.4"
"88",413,56861,88,"Sarah Norton"," 6.4"
"89",30050,46136,89,"Payton Long"," 6.4"
"90",537,71030,90,"Kinsley Sheppard"," 6.4"
"91",11403,31725,91,"Alexis Hamilton"," 6.3"
"92",638,3504,92,"Alicia Ball"," 6.3"
"93",9004,28257,93,"Mikayla Gilgert"," 6.3"
"94",216,458,94,"Avery Adkins"," 6.3"
"95",584,85159,95,"Ashley Worrell"," 6.3"
"96",1170,4952,96,"Morgan Beeler"," 6.3"
"97",30191,19327,97,"Paityn Desormeaux"," 6.3"
"98",947,9751,98,"Bailey Buffington"," 6.3"
"99",30198,16181,99,"Savannah Coyle"," 6.3"
"100",593,34586,100,"Haile Hicks"," 6.2"
